date,demand_forecast,traffic_forecast,orders_forecast,units_forecast
2024-05-08,253904.9198,141838.4,1914.8184,4882.78692
2024-05-09,388506.1805,149150.1,3281.3022,12140.81814
2024-05-10,421101.215,151344.6,3556.5981,13159.41297
2024-05-11,264882.555,140149.5,1962.093,4905.2325
2024-05-12,263045.475,139177.5,1948.485,4871.2125
2024-05-13,268783.515,142213.5,1990.989,4977.4725
2024-05-14,264292.875,139837.5,1957.725,4894.3125
2024-05-15,278779.2417,142415.96,2065.03142,5162.57855
2024-05-16,291274.8189,140916.7,2113.7505,5601.438825
2024-05-17,300574.9547,140725.2,2181.2406,5780.28759
2024-05-18,293065.461,141783,2126.745,5635.87425
2024-05-19,293522.7882,146900.95,2130.063775,5644.669004
2024-05-20,282150.9018,141209.6,2047.5392,5425.97888
2024-05-21,282999.9944,141634.55,2053.700975,5442.307584
2024-05-22,366663.3062,150964.8,2490.9192,7970.94144
2024-05-23,415586.08,166075,2823.275,9034.48
2024-05-24,408480.8832,154167,2775.006,8880.0192
2024-05-25,409028.953,154373.85,2778.7293,8891.93376
2024-05-26,407489.4029,153792.8,2768.2704,8858.46528
2024-05-27,495624.7699,154672,3325.448,10774.45152
2024-05-28,374603.9808,159054,2544.864,8143.5648
2024-05-29,405850.2426,162184.4,2757.1348,8822.83136
2024-05-30,255023.1902,145097.4,1886.2662,4904.29212
2024-05-31,260993.46,137887.5,1930.425,5019.105
2024-06-01,250007.1756,142243.5,1849.1655,4807.8303
2024-06-02,231643.776,132580,1723.54,4136.496
2024-06-03,228934.358,131029.28,1703.38064,4088.113536
2024-06-04,228671.2996,130878.72,1701.42336,4083.416064
2024-06-05,232767.0509,133222.9,1731.8977,4156.55448
2024-06-06,235406.0218,134733.3,1751.5329,4203.67896
2024-06-07,233504.208,128695,1737.3825,4169.718
2024-06-08,231959.3203,132760.6,1725.8878,4142.13072
2024-06-09,235552.6118,134817.2,1752.6236,4206.29664
2024-06-10,233198.784,133470,1735.11,4164.264
2024-06-11,343373.6423,149325.35,2687.8563,9810.675495
2024-06-12,357074.2039,147110.6,2795.1014,10202.12011
2024-06-13,365286.4306,154561.35,2859.384975,10436.75516
2024-06-14,385564.7789,158848.4,3018.1196,11016.13654
2024-06-15,227024.1792,129936,1689.168,4054.0032
2024-06-16,263436.705,139384.5,1951.383,4878.4575
2024-06-17,233253.2966,133501.2,1735.5156,4165.23744
2024-06-18,311686.032,156233.6,1952.92,4101.132
2024-06-19,243915.7594,139603.8,1814.8494,4355.63856
2024-06-20,244632.4608,140014,1820.182,4368.4368
2024-06-21,242790.7608,133813.25,1806.478875,4335.5493
2024-06-22,242923.3498,139035.8,1807.4654,4337.91696
2024-06-23,244486.7793,139930.62,1819.09806,4365.835344
2024-06-24,243544.6541,139391.4,1812.0882,4349.01168
2024-06-25,239116.5504,136857,1779.141,4269.9384
2024-06-26,238267.9354,136371.3,1772.8269,4254.78456
2024-06-27,238595.116,136558.56,1775.26128,4260.627072
2024-06-28,238533.87,131467.08,1774.80558,4259.533392
2024-06-29,239318.6665,136972.68,1780.64484,4273.547616
2024-06-30,328876.4736,149761.6,2246.424,6851.5932
2024-07-01,320828.3971,146096.72,2191.4508,6683.92494
2024-07-02,325338.1686,148150.35,2222.25525,6777.878513
2024-07-03,326870.208,148848,2232.72,6809.796
2024-07-04,405374.5552,153830.66,2768.95188,8445.303234
2024-07-05,333335.0124,151791.9,2276.8785,6944.479425
2024-07-06,331847.6616,151114.6,2266.719,6913.49295
2024-07-07,333677.5884,151947.9,2279.2185,6951.616425
2024-07-08,322686.7299,142202.86,2204.14433,6722.640207
2024-07-09,211108.9601,127654.7,1595.68375,3909.425188
2024-07-10,212025.2203,128208.75,1602.609375,3926.392969
2024-07-11,212632.9734,128576.25,1607.203125,3937.647656
2024-07-12,302440.5682,144184.1,2306.9456,7958.96232
2024-07-13,319957.1643,143562.24,2440.55808,8419.925376
2024-07-14,333827.0946,145505.98,2546.35465,8784.923543
2024-07-15,212337.3656,128397.5,1604.96875,3932.173438
2024-07-16,430105.1832,155160.6,3413.5332,11947.3662
2024-07-17,412678.2038,155963.04,3275.22384,11463.28344
2024-07-18,394830.072,156678.6,3133.572,10967.502
2024-07-19,380447.55,150971.25,3019.425,10567.9875
2024-07-20,351562.68,155010,2790.18,9765.63
2024-07-21,381336.8933,168137.96,3026.48328,10592.69148
