channel,sku,date,inventory_units,inventory_cost,inventory_retail
004:ECOM FULL PRICE,197516664090,4/19/2025,33,255.75,3927
004:ECOM FULL PRICE,197516664106,4/19/2025,8,62,952
004:ECOM FULL PRICE,197516664113,4/19/2025,29,224.75,3451
004:ECOM FULL PRICE,197516664120,4/19/2025,38,294.5,4522
004:ECOM FULL PRICE,197516664137,4/19/2025,51,395.25,6069
004:ECOM FULL PRICE,197516664168,4/19/2025,103,1081.5,11227
004:ECOM FULL PRICE,197516664175,4/19/2025,144,1512,15696
004:ECOM FULL PRICE,197516664182,4/19/2025,96,1008,10464
004:ECOM FULL PRICE,197516664199,4/19/2025,1,10.5,109
004:ECOM FULL PRICE,197516664205,4/19/2025,1,10.5,109
004:ECOM FULL PRICE,197516664212,4/19/2025,9,94.5,981
004:ECOM FULL PRICE,197516664243,4/19/2025,1,10.5,109
004:ECOM FULL PRICE,197516664250,4/19/2025,61,640.5,6649
004:ECOM FULL PRICE,197516664281,4/19/2025,1,10.5,109
004:ECOM FULL PRICE,197516664298,4/19/2025,1,10.5,109
004:ECOM FULL PRICE,197516664328,4/19/2025,91,955.5,9919
004:ECOM FULL PRICE,197516664335,4/19/2025,169,1774.5,18421
004:ECOM FULL PRICE,197516664342,4/19/2025,127,1333.5,13843
004:ECOM FULL PRICE,197516664359,4/19/2025,48,504,5232
004:ECOM FULL PRICE,197516664366,4/19/2025,1,10.5,109
004:ECOM FULL PRICE,197516664373,4/19/2025,65,682.5,7085
004:ECOM FULL PRICE,197516664403,4/19/2025,46,276,3634
004:ECOM FULL PRICE,197516664410,4/19/2025,95,570,7505
004:ECOM FULL PRICE,197516664427,4/19/2025,181,1086,14299
004:ECOM FULL PRICE,197516664434,4/19/2025,201,1206,15879
004:ECOM FULL PRICE,197516664441,4/19/2025,135,810,10665
004:ECOM FULL PRICE,197516664458,4/19/2025,79,474,6241
004:ECOM FULL PRICE,197516664465,4/19/2025,46,276,3634
004:ECOM FULL PRICE,197516664489,4/19/2025,52,312,4108
004:ECOM FULL PRICE,197516664496,4/19/2025,94,564,7426
004:ECOM FULL PRICE,197516664502,4/19/2025,161,966,12719
004:ECOM FULL PRICE,197516664519,4/19/2025,201,1206,15879
004:ECOM FULL PRICE,197516664526,4/19/2025,137,822,10823
004:ECOM FULL PRICE,197516664533,4/19/2025,76,456,6004
004:ECOM FULL PRICE,197516664540,4/19/2025,50,300,3950
004:ECOM FULL PRICE,197516664601,4/19/2025,17,102,1343
004:ECOM FULL PRICE,197516664618,4/19/2025,25,150,1975
004:ECOM FULL PRICE,197516664625,4/19/2025,7,42,553
004:ECOM FULL PRICE,197516664649,4/19/2025,58,258.1,3422
004:ECOM FULL PRICE,197516664656,4/19/2025,161,716.45,9499
004:ECOM FULL PRICE,197516664663,4/19/2025,273,1214.85,16107
004:ECOM FULL PRICE,197516664670,4/19/2025,259,1152.55,15281
004:ECOM FULL PRICE,197516664687,4/19/2025,211,938.95,12449
004:ECOM FULL PRICE,197516664694,4/19/2025,116,516.2,6844
004:ECOM FULL PRICE,197516664748,4/19/2025,3,13.35,177
004:ECOM FULL PRICE,197516664755,4/19/2025,40,178,2360
004:ECOM FULL PRICE,197516664762,4/19/2025,49,218.05,2891
004:ECOM FULL PRICE,197516664779,4/19/2025,11,48.95,649
004:ECOM FULL PRICE,197516664809,4/19/2025,4,17.8,236
004:ECOM FULL PRICE,197516664816,4/19/2025,36,160.2,2124
004:ECOM FULL PRICE,197516664823,4/19/2025,72,320.4,4248
004:ECOM FULL PRICE,197516664830,4/19/2025,80,356,4720
004:ECOM FULL PRICE,197516664847,4/19/2025,71,315.95,4189
004:ECOM FULL PRICE,197516664854,4/19/2025,35,155.75,2065
004:ECOM FULL PRICE,197516665042,4/19/2025,1,5.68,59
004:ECOM FULL PRICE,197516665059,4/19/2025,59,335.12,3481
004:ECOM FULL PRICE,197516665066,4/19/2025,179,1016.72,10561
004:ECOM FULL PRICE,197516665073,4/19/2025,174,988.32,10266
004:ECOM FULL PRICE,197516665080,4/19/2025,154,874.72,9086
004:ECOM FULL PRICE,197516665097,4/19/2025,86,488.48,5074
004:ECOM FULL PRICE,197516665134,4/19/2025,30,170.4,1770
004:ECOM FULL PRICE,197516665141,4/19/2025,145,823.6,8555
004:ECOM FULL PRICE,197516665158,4/19/2025,142,806.56,8378
004:ECOM FULL PRICE,197516665165,4/19/2025,119,675.92,7021
004:ECOM FULL PRICE,197516665172,4/19/2025,67,380.56,3953
004:ECOM FULL PRICE,197516665219,4/19/2025,1,4.29,59
004:ECOM FULL PRICE,197516665240,4/19/2025,1,4.29,59
004:ECOM FULL PRICE,197516665370,4/19/2025,42,186.48,2478
004:ECOM FULL PRICE,197516665387,4/19/2025,71,315.24,4189
004:ECOM FULL PRICE,197516665394,4/19/2025,59,261.96,3481
004:ECOM FULL PRICE,197516665400,4/19/2025,52,230.88,3068
004:ECOM FULL PRICE,197516665417,4/19/2025,17,75.48,1003
004:ECOM FULL PRICE,197516665448,4/19/2025,11,53.68,759
004:ECOM FULL PRICE,197516665455,4/19/2025,31,151.28,2139
004:ECOM FULL PRICE,197516665462,4/19/2025,78,380.64,5382
004:ECOM FULL PRICE,197516665479,4/19/2025,78,380.64,5382
004:ECOM FULL PRICE,197516665486,4/19/2025,60,292.8,4140
004:ECOM FULL PRICE,197516665493,4/19/2025,47,229.36,3243
004:ECOM FULL PRICE,197516665530,4/19/2025,15,73.2,1035
004:ECOM FULL PRICE,197516665547,4/19/2025,41,200.08,2829
004:ECOM FULL PRICE,197516665554,4/19/2025,45,219.6,3105
004:ECOM FULL PRICE,197516665561,4/19/2025,29,141.52,2001
004:ECOM FULL PRICE,197516665578,4/19/2025,22,107.36,1518
004:ECOM FULL PRICE,197516665639,4/19/2025,78,380.64,5382
004:ECOM FULL PRICE,197516665646,4/19/2025,138,673.44,9522
004:ECOM FULL PRICE,197516665653,4/19/2025,27,131.76,1863
004:ECOM FULL PRICE,197516665691,4/19/2025,11,53.68,759
004:ECOM FULL PRICE,197516665707,4/19/2025,105,512.4,7245
004:ECOM FULL PRICE,197516665714,4/19/2025,92,448.96,6348
004:ECOM FULL PRICE,197516665769,4/19/2025,24,111.12,1656
004:ECOM FULL PRICE,197516665776,4/19/2025,51,236.13,3519
004:ECOM FULL PRICE,197516665783,4/19/2025,100,463,6900
004:ECOM FULL PRICE,197516665790,4/19/2025,77,356.51,5313
004:ECOM FULL PRICE,197516665806,4/19/2025,51,236.13,3519
004:ECOM FULL PRICE,197516665813,4/19/2025,35,162.05,2415
004:ECOM FULL PRICE,197516665844,4/19/2025,11,50.93,759
004:ECOM FULL PRICE,197516665851,4/19/2025,26,120.38,1794
004:ECOM FULL PRICE,197516665868,4/19/2025,61,282.43,4209
004:ECOM FULL PRICE,197516665875,4/19/2025,43,199.09,2967
004:ECOM FULL PRICE,197516665882,4/19/2025,42,194.46,2898
004:ECOM FULL PRICE,197516665899,4/19/2025,6,27.78,414
004:ECOM FULL PRICE,197516666001,4/19/2025,98,994.7,12642
004:ECOM FULL PRICE,197516666018,4/19/2025,127,1289.05,16383
004:ECOM FULL PRICE,197516666025,4/19/2025,183,1857.45,23607
004:ECOM FULL PRICE,197516666032,4/19/2025,244,2476.6,31476
004:ECOM FULL PRICE,197516666049,4/19/2025,211,2141.65,27219
004:ECOM FULL PRICE,197516666056,4/19/2025,188,1908.2,24252
004:ECOM FULL PRICE,197516666100,4/19/2025,33,334.95,4257
004:ECOM FULL PRICE,197516666117,4/19/2025,58,588.7,7482
004:ECOM FULL PRICE,197516666124,4/19/2025,65,659.75,8385
004:ECOM FULL PRICE,197516666131,4/19/2025,130,1319.5,16770
004:ECOM FULL PRICE,197516666162,4/19/2025,65,776.75,7735
004:ECOM FULL PRICE,197516666179,4/19/2025,116,1386.2,13804
004:ECOM FULL PRICE,197516666186,4/19/2025,100,1195,11900
004:ECOM FULL PRICE,197516666193,4/19/2025,69,824.55,8211
004:ECOM FULL PRICE,197516666209,4/19/2025,41,489.95,4879
004:ECOM FULL PRICE,197516666216,4/19/2025,35,418.25,4165
004:ECOM FULL PRICE,197516666254,4/19/2025,31,370.45,3689
004:ECOM FULL PRICE,197516666261,4/19/2025,20,239,2380
004:ECOM FULL PRICE,197516666285,4/19/2025,10,119.5,1190
004:ECOM FULL PRICE,197516666292,4/19/2025,24,286.8,2856
004:ECOM FULL PRICE,197516666322,4/19/2025,78,932.1,9282
004:ECOM FULL PRICE,197516666339,4/19/2025,95,1135.25,11305
004:ECOM FULL PRICE,197516666346,4/19/2025,95,1135.25,11305
004:ECOM FULL PRICE,197516666353,4/19/2025,96,1147.2,11424
004:ECOM FULL PRICE,197516666360,4/19/2025,44,525.8,5236
004:ECOM FULL PRICE,197516666377,4/19/2025,93,1111.35,11067
004:ECOM FULL PRICE,197516666407,4/19/2025,90,891,10710
004:ECOM FULL PRICE,197516666414,4/19/2025,19,188.1,2261
004:ECOM FULL PRICE,197516666421,4/19/2025,87,861.3,10353
004:ECOM FULL PRICE,197516666438,4/19/2025,141,1395.9,16779
004:ECOM FULL PRICE,197516666445,4/19/2025,118,1168.2,14042
004:ECOM FULL PRICE,197516666452,4/19/2025,120,1188,14280
004:ECOM FULL PRICE,197516666469,4/19/2025,65,643.5,7735
004:ECOM FULL PRICE,197516666483,4/19/2025,62,613.8,7378
004:ECOM FULL PRICE,197516666490,4/19/2025,115,1138.5,13685
004:ECOM FULL PRICE,197516666506,4/19/2025,146,1445.4,17374
004:ECOM FULL PRICE,197516666513,4/19/2025,131,1296.9,15589
004:ECOM FULL PRICE,197516666520,4/19/2025,93,920.7,11067
004:ECOM FULL PRICE,197516666537,4/19/2025,68,673.2,8092
004:ECOM FULL PRICE,197516666544,4/19/2025,46,455.4,5474
004:ECOM FULL PRICE,197516666568,4/19/2025,76,752.4,9044
004:ECOM FULL PRICE,197516666575,4/19/2025,154,1524.6,18326
004:ECOM FULL PRICE,197516666582,4/19/2025,192,1900.8,22848
004:ECOM FULL PRICE,197516666599,4/19/2025,147,1455.3,17493
004:ECOM FULL PRICE,197516666605,4/19/2025,110,1089,13090
004:ECOM FULL PRICE,197516666612,4/19/2025,85,841.5,10115
004:ECOM FULL PRICE,197516666629,4/19/2025,44,435.6,5236
004:ECOM FULL PRICE,197516666643,4/19/2025,181,866.99,10679
