date,sessions,purchases,revenue
2025-05-02,2075,11,1300.93
2025-05-03,2296,13,1582.22
2025-05-04,2421,20,2728.31
2025-05-05,2144,13,1692.26
2025-05-06,1996,24,5574.44
2025-05-07,2210,18,4074.89
2025-05-08,2045,17,3695.98
2025-05-09,2107,15,2764.59
2025-05-10,2022,16,4116.66
2025-05-11,2204,18,4552.32
2025-05-12,1929,6,970.5
2025-05-13,2125,12,2844.53
2025-05-14,1909,6,994.45
2025-05-15,1941,15,3170.18
2025-05-16,1937,15,4174.38
2025-05-17,2259,22,5149.7
2025-05-18,2386,15,2662.92
2025-05-19,2402,17,3153.88
2025-05-20,2075,20,4189.6
2025-05-21,2227,19,3767.51
2025-05-22,2264,11,2438.44
2025-05-23,2123,13,2655.06
2025-05-24,2315,12,1792.95
2025-05-25,2879,27,6010.02
2025-05-26,2515,13,2336.82
2025-05-27,2341,11,2391.73
2025-05-28,2316,16,3419.12
2025-05-29,2364,16,3476.86
2025-05-30,2255,12,1868.79
2025-05-31,2531,11,1543.88
2025-06-01,2600,16,4367.72
2025-06-02,2431,12,2198.74
2025-06-03,2196,15,3187.96
2025-06-04,2178,9,2373.51
2025-06-05,2269,4,1002.52
2025-06-06,2200,17,3684.63
2025-06-07,2243,20,4328.2
2025-06-08,2413,16,2610.8
2025-06-09,2187,11,2572.92
2025-06-10,2213,16,2982.2
2025-06-11,2277,15,4500.22
2025-06-12,2163,18,3780.56
2025-06-13,2163,26,8726.79
2025-06-14,2331,22,3284.95
2025-06-15,2800,30,6323.65
2025-06-16,2648,13,2738.61
2025-06-17,2467,12,3420.86
2025-06-18,2277,19,3615.75
2025-06-19,2249,13,2919.78
2025-06-20,2291,14,3232.8
2025-06-21,2334,8,1491.1
2025-06-22,2367,16,3921.37
2025-06-23,2368,11,2389.5
2025-06-24,2158,13,2969.46
2025-06-25,2025,10,1423.1
2025-06-26,2221,16,3025.03
2025-06-27,1946,14,2513.77
2025-06-28,2154,12,3564.97
2025-06-29,2277,10,2319.33
2025-06-30,2391,16,4779.47
2025-07-01,2366,14,3243.12
2025-07-02,2348,15,3267.74
2025-07-03,2329,16,3350.28
2025-07-04,2223,16,3939.03
2025-07-05,2444,17,4016.5
2025-07-06,2431,18,4009.16
2025-07-07,2303,17,2955.06
2025-07-08,2463,11,2090.34
2025-07-09,2440,11,2203.24
2025-07-10,3207,33,7150.37
2025-07-11,2813,22,5806.23
2025-07-12,2579,14,3149.17
2025-07-13,2651,17,4488.44
2025-07-14,2609,16,4151.06
2025-07-15,2652,18,3294.4
2025-07-16,2511,22,5520.65
2025-07-17,2671,9,1931.88
2025-07-18,2807,21,3355.53
2025-07-19,2627,27,4803.16
