date,sessions,purchases,revenue
2023-08-07,1922,10,2748.91
2023-08-08,1953,6,1317.13
2023-08-09,1735,6,1907.45
2023-08-10,1702,4,452.67
2023-08-11,1672,3,713.79
2023-08-12,1681,7,1115.1
2023-08-13,1836,2,378.09
2023-08-14,1995,7,2180.68
2023-08-15,2023,7,869.79
2023-08-16,2018,8,1180.83
2023-08-17,1746,3,181.91
2023-08-18,1736,10,1533.69
2023-08-19,1831,7,1570.91
2023-08-20,1845,13,4407.37
2023-08-21,2016,9,1431.33
2023-08-22,1959,7,1265.87
2023-08-23,2012,7,1868.3
2023-08-24,1892,9,2457.38
2023-08-25,1748,3,737.19
2023-08-26,1732,4,1978.17
2023-08-27,1908,11,2947.2
2023-08-28,1716,7,1028.37
2023-08-29,1813,7,960.98
2023-08-30,1655,6,1486.03
2023-08-31,1807,9,1358.04
2023-09-01,1706,9,3245.95
2023-09-02,1824,12,2588.8
2023-09-03,2035,9,1878.75
2023-09-04,2294,12,2151.52
2023-09-05,1907,11,2271.36
2023-09-06,1682,8,1566.56
2023-09-07,1705,3,604.59
2023-09-08,1524,7,1372.47
2023-09-09,1635,5,829.04
2023-09-10,1802,7,1997.87
2023-09-11,1703,3,644.61
2023-09-12,1902,2,320.74
2023-09-13,1834,5,670.1
2023-09-14,1744,8,1203.78
2023-09-15,1644,4,1871.18
2023-09-16,1916,7,1874.36
2023-09-17,1821,11,4589.74
2023-09-18,2098,11,2144.56
2023-09-19,1935,14,2934.38
2023-09-20,1818,9,2062.23
2023-09-21,1687,9,2811.6
2023-09-22,2153,8,1908.71
2023-09-23,2383,13,2792.33
2023-09-24,2214,8,963.62
2023-09-25,1834,3,448.35
2023-09-26,1883,11,2551.24
2023-09-27,1935,3,754.04
2023-09-28,1884,8,1473
2023-09-29,1733,6,1317.59
2023-09-30,1941,8,2366.14
2023-10-01,1932,4,758.2
2023-10-02,1808,7,1353.3
2023-10-03,1847,6,1453.23
2023-10-04,2403,5,775.9
2023-10-05,1979,5,1386
2023-10-06,1722,4,2407.61
2023-10-07,1729,2,539.46
2023-10-08,2039,9,1960.31
2023-10-09,2062,8,2046.36
2023-10-10,1795,6,1131.43
2023-10-11,1976,6,1458.58
2023-10-12,1940,6,1330.02
2023-10-13,1977,10,2239.58
2023-10-14,2124,6,1403.53
2023-10-15,2164,9,2439.22
2023-10-16,1877,7,1773.74
2023-10-17,1945,6,1742.81
2023-10-18,1952,8,2231.22
2023-10-19,1845,8,1280.94
2023-10-20,1912,9,2458.54
2023-10-21,2205,4,1032.3
2023-10-22,2314,10,1911.21
2023-10-23,2059,9,2019.96
2023-10-24,2151,10,3317.52
2023-10-25,2346,8,3863.68
2023-10-26,2081,11,1811.57
2023-10-27,2071,8,1683
2023-10-28,2050,7,2943.47
2023-10-29,1930,5,576.85
2023-10-30,1809,5,645.29
2023-10-31,1614,5,1065.23
2023-11-01,2032,11,4091.86
2023-11-02,1972,9,2369.52
2023-11-03,1891,10,3052.18
2023-11-04,2027,6,1715.38
2023-11-05,2246,9,1758.93
2023-11-06,2014,10,1142.77
2023-11-07,2078,10,2446.57
2023-11-08,1971,11,1986.52
2023-11-09,1978,7,1053.4
2023-11-10,1869,9,1584.97
2023-11-11,2187,7,1903.2
2023-11-12,2078,7,908.45
2023-11-13,2194,6,1364.83
2023-11-14,2168,9,1969.66
2023-11-15,2330,19,3227.55
2023-11-16,2402,18,2203.53
2023-11-17,2587,28,5489.96
2023-11-18,2951,26,5070.45
2023-11-19,3126,35,6423.88
2023-11-20,3139,32,5079.18
2023-11-21,3588,28,4365.04
2023-11-22,3735,42,7488.4
2023-11-23,4383,49,9494.89
2023-11-24,5288,101,18419.98
2023-11-25,4446,50,7980.96
2023-11-26,4215,59,9329.44
2023-11-27,4016,47,8577.34
2023-11-28,3494,37,6187.13
2023-11-29,3167,39,8915.85
2023-11-30,3141,40,6643.93
2023-12-01,2760,40,6194.17
2023-12-02,2679,29,6306.7
2023-12-03,2963,30,5344.24
2023-12-04,2761,21,3681.86
2023-12-05,2618,38,6873.7
2023-12-06,2528,25,3871.9
2023-12-07,2598,28,3699.26
2023-12-08,2612,36,6248.27
2023-12-09,2655,49,7699.67
2023-12-10,2801,23,3322.33
2023-12-11,2665,29,4870.6
2023-12-12,2620,34,5496.04
2023-12-13,2483,26,4966.8
2023-12-14,2423,24,6357.89
2023-12-15,2327,34,5062.57
2023-12-16,2420,17,2404.26
2023-12-17,2537,23,2939.3
2023-12-18,2470,23,4289.02
2023-12-19,2355,21,3838.04
2023-12-20,2152,14,2337.8
2023-12-21,2223,17,2578.08
2023-12-22,2280,26,4779.12
2023-12-23,2401,13,2633.55
2023-12-24,2586,16,2741.33
2023-12-25,3905,29,5701.69
2023-12-26,4890,48,12373.1
2023-12-27,3352,26,4089.87
2023-12-28,3025,36,6550.38
2023-12-29,2841,30,5772.57
