Segment,Date,Session Custom Channel Group,Platform,Sessions,Total revenue,Purchases,Engaged sessions,Shipping amount,Tax amount
Good Sessions,1/29/2023,Affiliates,web,2566,15489.28,109,1754,1034.13,799.84
Good Sessions,1/29/2023,Direct,Android,92,517.31,1,76,13,0
Good Sessions,1/29/2023,Direct,iOS,6874,10446.4,75,6005,791,0
Good Sessions,1/29/2023,Direct,web,19748,44900.41,310,10106,3057.22,2787.1
Good Sessions,1/29/2023,Display,web,105,102,1,14,10,7.02
Good Sessions,1/29/2023,Email,iOS,9,0,0,8,0,0
Good Sessions,1/29/2023,Email,web,14450,35373.13,211,8483,1873.16,2126.35
Good Sessions,1/29/2023,Organic Search,Android,272,811.1,3,244,58,0
Good Sessions,1/29/2023,Organic Search,web,10563,12733.44,68,7507,845,1088.87
Good Sessions,1/29/2023,Organic Shopping,web,160,637,4,128,30,44.47
Good Sessions,1/29/2023,Organic Social,Android,1,0,0,1,0,0
Good Sessions,1/29/2023,Organic Social,web,804,826.07,7,633,60,46.35
Good Sessions,1/29/2023,Organic Video,web,1,0,0,1,0,0
Good Sessions,1/29/2023,Paid Search,Android,358,486.39,5,305,52.5,0
Good Sessions,1/29/2023,Paid Search,iOS,138,242.62,2,117,10,0
Good Sessions,1/29/2023,Paid Search,web,30786,57123.94,415,19737,4025,3431.21
Good Sessions,1/29/2023,Paid Social,web,12451,15684.3,119,6841,967,808.43
Good Sessions,1/29/2023,Paid Video,web,1,0,0,1,0,0
Good Sessions,1/29/2023,Payment Redirects,web,460,4031.02,26,353,267.5,224.5
Good Sessions,1/29/2023,Referral,web,189,560.09,4,117,39.03,29.2
Good Sessions,1/29/2023,SMS,web,12558,19050.94,117,4303,801,1071.68
Good Sessions,1/29/2023,Unassigned,Android,14,0,0,0,0,0
Good Sessions,1/29/2023,Unassigned,iOS,107,41.13,1,0,10,0
Good Sessions,1/29/2023,Unassigned,web,872,3307.53,27,0,269.5,200.98
Good Sessions,1/30/2023,Affiliates,web,2528,12983.47,84,1725,744.5,824.39
Good Sessions,1/30/2023,Direct,Android,92,387.15,2,78,22.5,0
Good Sessions,1/30/2023,Direct,iOS,6284,11999.06,85,5433,969,0
Good Sessions,1/30/2023,Direct,web,20185,39415.3,266,10323,3047.81,2349.61
Good Sessions,1/30/2023,Display,web,1187,0,0,125,0,0
Good Sessions,1/30/2023,Email,Android,1,0,0,0,0,0
Good Sessions,1/30/2023,Email,iOS,8,0,0,8,0,0
Good Sessions,1/30/2023,Email,web,14493,32592.36,176,8105,1498.46,2172.55
Good Sessions,1/30/2023,Organic Search,Android,232,136.1,2,203,20,0
Good Sessions,1/30/2023,Organic Search,web,10266,14158.94,88,7383,1028.52,850.71
Good Sessions,1/30/2023,Organic Shopping,web,214,500.95,5,167,43,33.34
Good Sessions,1/30/2023,Organic Social,web,696,971.93,8,569,63,59.92
Good Sessions,1/30/2023,Paid Search,Android,382,246.27,2,311,13,0
Good Sessions,1/30/2023,Paid Search,iOS,143,0,0,118,0,0
Good Sessions,1/30/2023,Paid Search,web,22692,43617.04,330,14945,3466.45,2584.26
Good Sessions,1/30/2023,Paid Social,web,10605,12987.75,102,5722,799,712.93
Good Sessions,1/30/2023,Paid Video,web,1,0,0,0,0,0
Good Sessions,1/30/2023,Payment Redirects,web,406,3657.38,25,292,297.5,247.12
Good Sessions,1/30/2023,Referral,web,268,567.19,3,144,39.06,36.23
Good Sessions,1/30/2023,SMS,web,15648,20808.96,131,6584,1172.5,1210.22
Good Sessions,1/30/2023,Unassigned,Android,13,0,0,0,0,0
Good Sessions,1/30/2023,Unassigned,iOS,140,118.54,1,0,10,0
Good Sessions,1/30/2023,Unassigned,web,931,3773.76,24,7,217.19,292.23
Good Sessions,1/31/2023,Affiliates,web,2259,22166.31,122,1578,953,1281.01
Good Sessions,1/31/2023,Direct,Android,80,166.34,1,71,0,0
Good Sessions,1/31/2023,Direct,iOS,6080,9795.04,75,5219,802.5,0
Good Sessions,1/31/2023,Direct,web,18590,39480.31,288,9129,3124,2341.41
Good Sessions,1/31/2023,Display,web,459,98.19,1,87,10,8.2
Good Sessions,1/31/2023,Email,Android,2,0,0,1,0,0
Good Sessions,1/31/2023,Email,iOS,5,0,0,4,0,0
Good Sessions,1/31/2023,Email,web,14349,37323.15,221,8731,1974.83,2364.54
Good Sessions,1/31/2023,Organic Search,Android,252,253.92,2,207,10,0
Good Sessions,1/31/2023,Organic Search,web,9900,15204.34,87,7006,957.88,730.07
Good Sessions,1/31/2023,Organic Shopping,web,282,459.98,4,195,30,28.68
Good Sessions,1/31/2023,Organic Social,web,723,717.58,5,571,30,40.29
Good Sessions,1/31/2023,Organic Video,web,2,0,0,2,0,0
Good Sessions,1/31/2023,Paid Search,Android,372,141.26,2,307,20,0
Good Sessions,1/31/2023,Paid Search,iOS,132,192.09,1,114,0,0
Good Sessions,1/31/2023,Paid Search,web,21997,46117.43,349,14583,3428.09,2740.15
Good Sessions,1/31/2023,Paid Social,web,10345,12777.42,94,5545,777.5,743.24
Good Sessions,1/31/2023,Paid Video,web,4,171.06,1,3,0,13.02
Good Sessions,1/31/2023,Payment Redirects,web,392,5387.79,32,282,340,311.07
Good Sessions,1/31/2023,Referral,web,204,302.36,1,126,30.82,13.81
Good Sessions,1/31/2023,SMS,web,16053,27886.52,168,7855,1509.5,1609.55
Good Sessions,1/31/2023,Unassigned,Android,8,130.21,1,0,13,0
Good Sessions,1/31/2023,Unassigned,iOS,126,0,0,0,0,0
Good Sessions,1/31/2023,Unassigned,web,1013,2843.78,20,0,238,143.3
Good Sessions,2/1/2023,Affiliates,web,2204,18060.32,106,1551,951.35,970.85
Good Sessions,2/1/2023,Direct,Android,52,479.94,4,51,33,0
Good Sessions,2/1/2023,Direct,iOS,5306,13080.29,90,4630,926,0
Good Sessions,2/1/2023,Direct,web,18944,50500.93,344,9172,3512.34,2931.02
Good Sessions,2/1/2023,Display,web,103,221.83,1,29,0,0
Good Sessions,2/1/2023,Email,iOS,7,0,0,6,0,0
Good Sessions,2/1/2023,Email,web,15961,39632.39,241,9715,1889.19,2467.7
Good Sessions,2/1/2023,Organic Search,Android,158,214.05,3,145,33,0
Good Sessions,2/1/2023,Organic Search,web,9792,19142.51,120,7130,1317.68,1471.74
Good Sessions,2/1/2023,Organic Shopping,web,382,811.87,5,257,67,36.02
Good Sessions,2/1/2023,Organic Social,Android,12,0,0,12,0,0
Good Sessions,2/1/2023,Organic Social,web,957,1952.55,11,736,95.5,132.21
Good Sessions,2/1/2023,Organic Video,web,3,0,0,1,0,0
Good Sessions,2/1/2023,Paid Search,Android,263,1206.26,8,228,67,0
Good Sessions,2/1/2023,Paid Search,iOS,94,286.49,2,77,68,0
Good Sessions,2/1/2023,Paid Search,web,22602,51858.18,406,14603,4335.69,3009.28
Good Sessions,2/1/2023,Paid Social,web,9797,13655.84,96,5457,659.5,782.67
Good Sessions,2/1/2023,Payment Redirects,web,395,4845.83,32,294,384,245.44
Good Sessions,2/1/2023,Referral,web,161,1083.62,4,108,71.46,132.1
Good Sessions,2/1/2023,SMS,web,16043,29270.3,185,7124,1685,1783.32
Good Sessions,2/1/2023,Unassigned,Android,9,0,0,0,0,0
Good Sessions,2/1/2023,Unassigned,iOS,92,122.13,1,0,13,0
Good Sessions,2/1/2023,Unassigned,web,1033,3539.49,26,0,246,207.5
Good Sessions,2/2/2023,Affiliates,web,2386,20817.17,136,1729,1253.56,1370.93
Good Sessions,2/2/2023,Direct,Android,75,326.92,3,62,23,0
Good Sessions,2/2/2023,Direct,iOS,5321,15270.28,109,4728,1208,0
Good Sessions,2/2/2023,Direct,web,26069,61007.75,403,15565,4131.84,4333.38
Good Sessions,2/2/2023,Display,web,124,0,0,52,0,0
Good Sessions,2/2/2023,Email,Android,1,0,0,1,0,0
Good Sessions,2/2/2023,Email,iOS,12,0,0,12,0,0
Good Sessions,2/2/2023,Email,web,14947,48424.98,278,8953,2310.9,3103.37
Good Sessions,2/2/2023,Organic Search,Android,176,0,0,156,0,0
Good Sessions,2/2/2023,Organic Search,web,9851,15798.68,97,7086,915.06,900.77
Good Sessions,2/2/2023,Organic Shopping,web,233,1222.95,5,171,10,57.51
Good Sessions,2/2/2023,Organic Social,Android,44,0,0,37,0,0
Good Sessions,2/2/2023,Organic Social,web,1001,1528.34,9,741,56,63.26
Good Sessions,2/2/2023,Paid Search,Android,270,1660.99,11,245,96,0
Good Sessions,2/2/2023,Paid Search,iOS,115,334.65,3,100,57,0
Good Sessions,2/2/2023,Paid Search,web,24342,56994.74,436,15756,4583.5,3276.01
Good Sessions,2/2/2023,Paid Social,web,9911,17072.29,123,5658,968.5,900.55
Good Sessions,2/2/2023,Payment Redirects,web,470,7488.69,45,355,478,405.45
Good Sessions,2/2/2023,Referral,web,196,517.55,2,123,40.27,14.82
Good Sessions,2/2/2023,SMS,web,20811,41975.94,233,9303,1889,2457.16
Good Sessions,2/2/2023,Unassigned,Android,6,0,0,0,0,0
Good Sessions,2/2/2023,Unassigned,iOS,132,155.4,2,0,20,0
Good Sessions,2/2/2023,Unassigned,web,1073,6983.95,40,0,353.43,407.98
Good Sessions,2/3/2023,Affiliates,web,2358,25364.52,151,1677,1242.65,1476.36
Good Sessions,2/3/2023,Direct,Android,98,156.36,1,81,0,0
Good Sessions,2/3/2023,Direct,iOS,6448,16638.54,117,5622,1136.5,0
Good Sessions,2/3/2023,Direct,web,26134,58151.71,398,16188,4126.77,3230.31
Good Sessions,2/3/2023,Display,web,131,0,0,25,0,0
Good Sessions,2/3/2023,Email,iOS,5,0,0,5,0,0
Good Sessions,2/3/2023,Email,web,17163,45233,288,10690,2175.39,2717.54
Good Sessions,2/3/2023,Organic Search,Android,249,764.3,5,212,64,0
Good Sessions,2/3/2023,Organic Search,web,9622,13950.91,96,6966,918.59,654.67
Good Sessions,2/3/2023,Organic Shopping,web,148,433.51,3,106,23,17.52
Good Sessions,2/3/2023,Organic Social,Android,46,0,0,40,0,0
Good Sessions,2/3/2023,Organic Social,web,816,2408.69,13,635,70,152.63
Good Sessions,2/3/2023,Organic Video,web,2,0,0,2,0,0
Good Sessions,2/3/2023,Paid Search,Android,380,1642.79,13,320,134,0
Good Sessions,2/3/2023,Paid Search,iOS,129,531.46,3,111,13,0
Good Sessions,2/3/2023,Paid Search,web,23972,61118.69,461,15212,4633,3207.39
Good Sessions,2/3/2023,Paid Social,web,9941,17027.32,125,5363,1052.5,847.76
Good Sessions,2/3/2023,Paid Video,web,1,89.63,1,1,10,7.4
Good Sessions,2/3/2023,Payment Redirects,web,432,6276.15,41,330,511,344.29
Good Sessions,2/3/2023,Referral,web,186,151.77,2,114,19.85,0
Good Sessions,2/3/2023,SMS,web,20775,33047.86,213,8300,1670,1928.4
Good Sessions,2/3/2023,Unassigned,Android,12,0,0,0,0,0
Good Sessions,2/3/2023,Unassigned,iOS,110,0,0,0,0,0
Good Sessions,2/3/2023,Unassigned,web,1079,5098.11,32,0,253,322.08
Good Sessions,2/4/2023,Affiliates,web,2383,17761.72,107,1673,842,876.39
Good Sessions,2/4/2023,Direct,Android,106,181.2,2,94,20,0
Good Sessions,2/4/2023,Direct,iOS,6435,10561.59,85,5605,979,0
Good Sessions,2/4/2023,Direct,web,27471,48355.95,346,17383,3349.17,3709.96
Good Sessions,2/4/2023,Display,web,217,0,0,41,0,0
Good Sessions,2/4/2023,Email,Android,3,0,0,3,0,0
Good Sessions,2/4/2023,Email,iOS,12,0,0,10,0,0
Good Sessions,2/4/2023,Email,web,16583,46280.89,284,10263,2145.55,2684.8
Good Sessions,2/4/2023,Organic Search,Android,276,179.65,3,242,30,0
Good Sessions,2/4/2023,Organic Search,web,10097,13128.21,87,7261,862.46,647
Good Sessions,2/4/2023,Organic Shopping,web,224,894.17,6,167,43,55.23
Good Sessions,2/4/2023,Organic Social,Android,57,0,0,55,0,0
Good Sessions,2/4/2023,Organic Social,web,929,1272.93,10,705,73,64.8
Good Sessions,2/4/2023,Organic Video,web,2,0,0,2,0,0
Good Sessions,2/4/2023,Paid Search,Android,398,827.91,7,336,50,0
Good Sessions,2/4/2023,Paid Search,iOS,133,640.29,4,116,30,0
Good Sessions,2/4/2023,Paid Search,web,25307,56347.69,428,16467,4251.06,3343.09
Good Sessions,2/4/2023,Paid Social,web,10459,17568.68,119,5637,988,877.43
Good Sessions,2/4/2023,Paid Video,web,2,0,0,1,0,0
Good Sessions,2/4/2023,Payment Redirects,web,402,5844.78,36,296,470.5,345.33
Good Sessions,2/4/2023,Referral,web,178,886.28,3,113,25.68,77.04
Good Sessions,2/4/2023,SMS,web,16790,27693.6,172,7483,1360,1634.62
Good Sessions,2/4/2023,Unassigned,Android,32,148,1,0,10,0
Good Sessions,2/4/2023,Unassigned,iOS,126,75.05,1,0,10,0
Good Sessions,2/4/2023,Unassigned,web,1099,5079.2,33,0,264.5,291.35
Good Sessions,2/5/2023,Affiliates,web,2617,20019.38,126,1876,886.35,1161.15
Good Sessions,2/5/2023,Direct,Android,74,306.94,1,68,22.5,0
Good Sessions,2/5/2023,Direct,iOS,6537,14498.37,111,5649,1108.5,0
Good Sessions,2/5/2023,Direct,web,27967,55465.5,367,17050,3876.94,3473
Good Sessions,2/5/2023,Display,web,132,235.04,1,28,0,9.04
Good Sessions,2/5/2023,Email,Android,1,0,0,1,0,0
Good Sessions,2/5/2023,Email,iOS,5,0,0,4,0,0
Good Sessions,2/5/2023,Email,web,17013,43427.85,267,10513,2148.57,3172.29
Good Sessions,2/5/2023,Organic Search,Android,247,601.65,5,212,43,0
Good Sessions,2/5/2023,Organic Search,web,10146,16656.05,104,7204,1128.77,978.65
Good Sessions,2/5/2023,Organic Shopping,web,163,211.67,2,125,23,11.27
Good Sessions,2/5/2023,Organic Social,Android,48,209.08,1,42,0,0
Good Sessions,2/5/2023,Organic Social,web,866,1627.27,9,658,102.5,73.89
Good Sessions,2/5/2023,Organic Video,web,4,0,0,4,0,0
Good Sessions,2/5/2023,Paid Search,Android,440,1011.56,6,365,65.5,0
Good Sessions,2/5/2023,Paid Search,iOS,152,421.82,3,131,33,0
Good Sessions,2/5/2023,Paid Search,web,26541,57890.39,432,17085,4734.59,3678.73
Good Sessions,2/5/2023,Paid Social,web,12339,21098.05,144,7081,1376,1070.16
Good Sessions,2/5/2023,Paid Video,web,4,0,0,2,0,0
Good Sessions,2/5/2023,Payment Redirects,web,504,6879.37,41,369,428.5,438.97
Good Sessions,2/5/2023,Referral,web,147,348.08,3,100,33.61,47.33
Good Sessions,2/5/2023,SMS,web,21157,26328.62,168,8718,1285.5,1549.87
Good Sessions,2/5/2023,Unassigned,Android,20,0,0,0,0,0
Good Sessions,2/5/2023,Unassigned,iOS,148,317.18,1,0,0,0
Good Sessions,2/5/2023,Unassigned,web,1182,6553.84,39,1,275,394.02
Good Sessions,2/6/2023,Affiliates,web,2527,18273.14,112,1751,1012.97,997.31
Good Sessions,2/6/2023,Direct,Android,85,150.82,1,73,10,0
Good Sessions,2/6/2023,Direct,iOS,6228,10478.5,82,5330,940,0
Good Sessions,2/6/2023,Direct,web,25964,42470.82,302,15723,3311,2555.14
Good Sessions,2/6/2023,Display,web,151,0,0,31,0,0
Good Sessions,2/6/2023,Email,Android,2,0,0,2,0,0
Good Sessions,2/6/2023,Email,iOS,4,0,0,2,0,0
Good Sessions,2/6/2023,Email,web,18500,41901.59,243,11188,2331.91,3045.31
Good Sessions,2/6/2023,Organic Search,Android,214,435.72,4,181,43,0
Good Sessions,2/6/2023,Organic Search,web,10310,15473.59,99,7471,1150.2,847.91
Good Sessions,2/6/2023,Organic Shopping,web,140,129.1,1,110,22.5,7.6
Good Sessions,2/6/2023,Organic Social,Android,56,0,0,50,0,0
Good Sessions,2/6/2023,Organic Social,web,710,565.93,3,555,20,33.01
Good Sessions,2/6/2023,Organic Video,web,3,0,0,2,0,0
Good Sessions,2/6/2023,Paid Search,Android,398,1527.7,10,332,62.5,0
Good Sessions,2/6/2023,Paid Search,iOS,133,347.07,2,116,10,0
Good Sessions,2/6/2023,Paid Search,web,22367,51886.28,364,14437,4137.5,3132.92
Good Sessions,2/6/2023,Paid Social,web,10564,12761.77,101,5897,958,590.85
Good Sessions,2/6/2023,Paid Video,web,1,0,0,0,0,0
Good Sessions,2/6/2023,Payment Redirects,web,367,6394.23,40,274,388.5,429.16
Good Sessions,2/6/2023,Referral,web,219,1033.11,4,143,51.97,94
Good Sessions,2/6/2023,SMS,web,18764,20850.43,127,7005,1113,1178.63
Good Sessions,2/6/2023,Unassigned,Android,18,0,0,0,0,0
Good Sessions,2/6/2023,Unassigned,iOS,120,174.36,1,0,22.5,0
Good Sessions,2/6/2023,Unassigned,web,1121,2844.82,18,1,156.38,174.3
Good Sessions,2/7/2023,Affiliates,web,2618,18650.2,114,1877,930,1141.21
Good Sessions,2/7/2023,Direct,Android,88,117.48,1,75,34,0
Good Sessions,2/7/2023,Direct,iOS,6247,10025.56,79,5336,766,0
Good Sessions,2/7/2023,Direct,web,26011,39960.76,292,14580,3068,2294.66
Good Sessions,2/7/2023,Display,web,208,129.59,1,38,10,10.59
Good Sessions,2/7/2023,Email,Android,2,0,0,1,0,0
Good Sessions,2/7/2023,Email,iOS,6,63.65,1,6,10,0
Good Sessions,2/7/2023,Email,web,20568,44596.91,276,13040,2151.06,2751.69
Good Sessions,2/7/2023,Mobile Push Notifications,iOS,1,0,0,1,0,0
Good Sessions,2/7/2023,Organic Search,Android,216,434.09,2,184,0,0
Good Sessions,2/7/2023,Organic Search,web,9715,14586.3,90,6941,1072.64,987.58
Good Sessions,2/7/2023,Organic Shopping,web,591,890.94,6,384,32.5,43.65
Good Sessions,2/7/2023,Organic Social,Android,65,0,0,57,0,0
Good Sessions,2/7/2023,Organic Social,web,1037,1402.57,6,759,22.5,77.35
Good Sessions,2/7/2023,Paid Search,Android,567,1133.56,6,478,64,0
Good Sessions,2/7/2023,Paid Search,iOS,162,53.35,1,141,10,0
Good Sessions,2/7/2023,Paid Search,web,21253,46830.59,342,14071,3635,2718.22
Good Sessions,2/7/2023,Paid Social,web,9187,14024.54,94,5108,713.5,633.18
Good Sessions,2/7/2023,Payment Redirects,web,405,5027.52,35,309,387.5,300.86
Good Sessions,2/7/2023,Referral,web,184,61.86,1,121,13,0
Good Sessions,2/7/2023,SMS,web,16712,27993.21,157,7146,1098.5,1639.23
Good Sessions,2/7/2023,Unassigned,Android,23,0,0,0,0,0
Good Sessions,2/7/2023,Unassigned,iOS,101,415.79,2,0,34,0
Good Sessions,2/7/2023,Unassigned,web,1307,3054.71,25,7,300.5,185.57
Good Sessions,2/8/2023,Affiliates,web,2961,19636.02,126,2056,1091,1146.92
Good Sessions,2/8/2023,Direct,Android,74,548.32,2,57,0,0
Good Sessions,2/8/2023,Direct,iOS,5144,14382.63,104,4505,1126.5,0
Good Sessions,2/8/2023,Direct,web,25917,51345.15,361,14632,3805.95,2932.05
Good Sessions,2/8/2023,Display,web,140,0,0,34,0,0
Good Sessions,2/8/2023,Email,Android,2,0,0,1,0,0
Good Sessions,2/8/2023,Email,iOS,4,0,0,4,0,0
Good Sessions,2/8/2023,Email,web,22855,61519.7,350,13988,2867.42,3615.6
Good Sessions,2/8/2023,Mobile Push Notifications,iOS,1,0,0,0,0,0
Good Sessions,2/8/2023,Organic Search,Android,180,1275.95,8,159,60,0
Good Sessions,2/8/2023,Organic Search,web,9427,15714.15,105,6779,1324.99,930.91
Good Sessions,2/8/2023,Organic Shopping,web,298,0,0,219,0,0
Good Sessions,2/8/2023,Organic Social,Android,35,0,0,26,0,0
Good Sessions,2/8/2023,Organic Social,web,775,591.71,4,610,20,42.88
Good Sessions,2/8/2023,Paid Search,Android,366,482.59,4,313,33,0
Good Sessions,2/8/2023,Paid Search,iOS,128,256.87,2,116,32.5,0
Good Sessions,2/8/2023,Paid Search,web,22330,54432.89,409,14341,5039.11,3247.03
Good Sessions,2/8/2023,Paid Social,web,8570,12667.26,92,4759,836,679.74
Good Sessions,2/8/2023,Paid Video,web,1,0,0,0,0,0
Good Sessions,2/8/2023,Payment Redirects,web,444,4090.79,27,340,282.5,234.51
Good Sessions,2/8/2023,Referral,web,179,1966.73,7,116,113.24,125.97
Good Sessions,2/8/2023,SMS,web,16725,31321.04,186,6902,1502,1875.6
Good Sessions,2/8/2023,Unassigned,Android,19,203.16,1,0,0,0
Good Sessions,2/8/2023,Unassigned,iOS,118,193.99,1,0,0,0
Good Sessions,2/8/2023,Unassigned,web,1387,6882.42,34,0,436.02,356.33
Good Sessions,2/9/2023,Affiliates,web,2904,20591.09,127,2028,1262,1217.88
Good Sessions,2/9/2023,Direct,Android,45,231.91,2,41,32.5,0
Good Sessions,2/9/2023,Direct,iOS,5302,11359.48,76,4757,870,0
Good Sessions,2/9/2023,Direct,web,22613,44334.54,290,13375,3215.89,2495.6
Good Sessions,2/9/2023,Display,web,63,176.26,1,16,0,0
Good Sessions,2/9/2023,Email,Android,1,0,0,1,0,0
Good Sessions,2/9/2023,Email,iOS,9,0,0,8,0,0
Good Sessions,2/9/2023,Email,web,22527,47376.89,282,13129,2652.7,3009.12
Good Sessions,2/9/2023,Organic Search,Android,143,997.61,7,127,56,0
Good Sessions,2/9/2023,Organic Search,web,9224,15650.3,94,6846,1180.19,814.23
Good Sessions,2/9/2023,Organic Shopping,web,232,152.9,1,148,10,11.5
Good Sessions,2/9/2023,Organic Social,Android,42,0,0,34,0,0
Good Sessions,2/9/2023,Organic Social,web,686,1198.21,10,509,105.5,63.01
Good Sessions,2/9/2023,Paid Search,Android,387,1598.22,6,345,30,0
Good Sessions,2/9/2023,Paid Search,iOS,154,0,0,143,0,0
Good Sessions,2/9/2023,Paid Search,web,21633,40152.7,307,14328,3735.5,2293.29
Good Sessions,2/9/2023,Paid Social,web,8952,12473.5,103,4967,985,653.69
Good Sessions,2/9/2023,Paid Video,web,1,0,0,1,0,0
Good Sessions,2/9/2023,Payment Redirects,web,459,6100.83,38,336,369.5,371.57
Good Sessions,2/9/2023,Referral,web,181,0,0,114,0,0
Good Sessions,2/9/2023,SMS,web,19923,25448.64,149,8320,1355,1474.69
Good Sessions,2/9/2023,Unassigned,Android,18,0,0,0,0,0
Good Sessions,2/9/2023,Unassigned,iOS,119,91.32,1,0,10,0
Good Sessions,2/9/2023,Unassigned,web,1331,4630.04,27,0,258,311.36
Good Sessions,2/10/2023,Affiliates,web,2660,18249.77,110,1876,1120,984.12
Good Sessions,2/10/2023,Direct,Android,53,482.27,3,42,54,0
Good Sessions,2/10/2023,Direct,iOS,5016,12118.09,82,4405,994,0
Good Sessions,2/10/2023,Direct,web,25790,51771.36,352,14984,3940.25,3003.63
Good Sessions,2/10/2023,Display,web,99,0,0,24,0,0
Good Sessions,2/10/2023,Email,Android,3,0,0,3,0,0
Good Sessions,2/10/2023,Email,iOS,11,186.27,1,11,0,0
Good Sessions,2/10/2023,Email,web,19314,47473.92,296,11082,2354.22,2640.9
Good Sessions,2/10/2023,Mobile Push Notifications,iOS,2,0,0,2,0,0
Good Sessions,2/10/2023,Organic Search,Android,178,959.98,8,149,95,0
Good Sessions,2/10/2023,Organic Search,web,9317,12469.92,82,6691,868.96,643.75
Good Sessions,2/10/2023,Organic Shopping,web,237,354.59,2,174,34,9.81
Good Sessions,2/10/2023,Organic Social,Android,33,0,0,29,0,0
Good Sessions,2/10/2023,Organic Social,web,649,1095.69,6,484,59,68.97
Good Sessions,2/10/2023,Organic Video,web,1,0,0,1,0,0
Good Sessions,2/10/2023,Paid Search,Android,364,1085.77,8,307,56,0
Good Sessions,2/10/2023,Paid Search,iOS,163,533.01,1,148,34,0
Good Sessions,2/10/2023,Paid Search,web,22165,49304.18,368,14077,4284.11,2861.18
Good Sessions,2/10/2023,Paid Social,web,9287,21619.51,150,5210,1184.5,1138.56
Good Sessions,2/10/2023,Payment Redirects,web,431,5413.01,33,300,271,225.75
Good Sessions,2/10/2023,Referral,web,146,563.71,2,104,30.42,139.9
Good Sessions,2/10/2023,SMS,web,12058,17861.51,115,3908,1056,1045.27
Good Sessions,2/10/2023,Unassigned,Android,14,0,0,0,0,0
Good Sessions,2/10/2023,Unassigned,iOS,90,244.68,2,0,32.5,0
Good Sessions,2/10/2023,Unassigned,web,939,2216.36,20,0,257,140.9
Good Sessions,2/11/2023,Affiliates,web,2695,17520.25,115,1896,1102.17,1113.11
Good Sessions,2/11/2023,Direct,Android,59,71.61,1,46,10,0
Good Sessions,2/11/2023,Direct,iOS,5544,12170.16,83,4881,948,0
Good Sessions,2/11/2023,Direct,web,25493,46577.12,331,14912,3565.34,2764.9
Good Sessions,2/11/2023,Display,web,95,0,0,28,0,0
Good Sessions,2/11/2023,Email,Android,1,0,0,1,0,0
Good Sessions,2/11/2023,Email,iOS,8,0,0,7,0,0
Good Sessions,2/11/2023,Email,web,17913,36848.64,215,10425,1835.53,2303.83
Good Sessions,2/11/2023,Organic Search,Android,192,590.65,4,172,30,0
Good Sessions,2/11/2023,Organic Search,web,9945,13921.42,90,6974,1060.24,930.92
Good Sessions,2/11/2023,Organic Shopping,web,189,684.01,3,147,23,46
Good Sessions,2/11/2023,Organic Social,Android,59,0,0,54,0,0
Good Sessions,2/11/2023,Organic Social,web,657,2452.18,16,459,184.5,152.85
Good Sessions,2/11/2023,Organic Video,web,3,0,0,1,0,0
Good Sessions,2/11/2023,Paid Search,Android,436,494.25,6,385,63,0
Good Sessions,2/11/2023,Paid Search,iOS,168,723.98,5,145,65.5,0
Good Sessions,2/11/2023,Paid Search,web,24444,52900.09,404,15405,4272,3033.48
Good Sessions,2/11/2023,Paid Social,web,9526,15257.05,102,5336,876.5,905.21
Good Sessions,2/11/2023,Paid Video,web,1,0,0,1,0,0
Good Sessions,2/11/2023,Payment Redirects,web,424,3194.18,25,299,313,207.48
Good Sessions,2/11/2023,Referral,web,118,665.37,3,75,32.1,58.85
Good Sessions,2/11/2023,SMS,web,13917,22342.76,148,7248,1320.5,1148
Good Sessions,2/11/2023,Unassigned,Android,21,0,0,0,0,0
Good Sessions,2/11/2023,Unassigned,iOS,111,238.16,2,1,10,0
Good Sessions,2/11/2023,Unassigned,web,1255,4678.16,27,0,248,325.03
Good Sessions,2/12/2023,Affiliates,web,2232,18104.2,111,1564,970.5,1135.63
Good Sessions,2/12/2023,Direct,Android,69,0,0,56,0,0
Good Sessions,2/12/2023,Direct,iOS,6062,14223.22,98,5372,1026,0
Good Sessions,2/12/2023,Direct,web,25652,45241.62,302,14582,3064.42,2829.02
Good Sessions,2/12/2023,Display,web,101,197.13,1,22,0,11.15
Good Sessions,2/12/2023,Email,Android,4,0,0,3,0,0
Good Sessions,2/12/2023,Email,iOS,7,0,0,6,0,0
Good Sessions,2/12/2023,Email,web,15837,41517.64,221,9157,1346.92,2560.2
Good Sessions,2/12/2023,Organic Search,Android,214,142.85,1,190,10,0
Good Sessions,2/12/2023,Organic Search,web,9715,15480.25,81,6953,1095.83,1351.59
Good Sessions,2/12/2023,Organic Shopping,web,158,0,0,106,0,0
Good Sessions,2/12/2023,Organic Social,Android,48,0,0,42,0,0
Good Sessions,2/12/2023,Organic Social,web,633,668.74,3,475,0,35.63
Good Sessions,2/12/2023,Paid Search,Android,591,465.04,3,505,20,0
Good Sessions,2/12/2023,Paid Search,iOS,228,369.21,2,195,22.5,0
Good Sessions,2/12/2023,Paid Search,web,22894,50967.63,331,14625,3686.16,3985.18
Good Sessions,2/12/2023,Paid Social,web,10418,12812.06,105,5720,858,702.92
Good Sessions,2/12/2023,Payment Redirects,web,386,3997.59,24,286,239.5,218.81
Good Sessions,2/12/2023,Referral,web,118,52.38,1,78,10,2.4
Good Sessions,2/12/2023,SMS,web,15277,35312.38,190,6044,1321,2169.53
Good Sessions,2/12/2023,Unassigned,Android,36,0,0,0,0,0
