date,sessions,purchases,revenue
2023-08-04,6766,37,7832.65
2023-08-05,6670,42,10655.07
2023-08-06,6687,41,10103.04
2023-08-07,6939,34,8165.99
2023-08-08,7251,35,8196.07
2023-08-09,6803,35,8354.71
2023-08-10,6516,29,5570.55
2023-08-11,6308,22,5565.03
2023-08-12,6256,32,6670.14
2023-08-13,6582,30,6254.33
2023-08-14,7214,40,7914.69
2023-08-15,7782,41,9152.21
2023-08-16,7638,42,8119.38
2023-08-17,7133,31,8830.89
2023-08-18,7525,28,5541.98
2023-08-19,7399,36,8037.51
2023-08-20,7242,36,10231.49
2023-08-21,7535,24,4111.34
2023-08-22,7275,28,6269.79
2023-08-23,7360,30,6226.3
2023-08-24,7248,41,8638.17
2023-08-25,6846,38,8918.19
2023-08-26,6597,25,5660.97
2023-08-27,7495,31,7717.33
2023-08-28,6844,32,8094.15
2023-08-29,7469,37,6805.29
2023-08-30,7099,33,7502.43
2023-08-31,7293,45,9835.83
2023-09-01,7064,43,12302.2
2023-09-02,7094,52,10173.13
2023-09-03,7535,55,12755.71
2023-09-04,7781,69,15818.91
2023-09-05,7870,52,11458.01
2023-09-06,7072,42,8814.52
2023-09-07,6965,26,5852.14
2023-09-08,6257,27,6182.91
2023-09-09,6466,24,4329.49
2023-09-10,6933,20,6319.64
2023-09-11,6806,22,5378.43
2023-09-12,7149,23,5248.8
2023-09-13,7056,28,4953.14
2023-09-14,7267,29,6523.63
2023-09-15,7374,28,9720.09
2023-09-16,7641,22,6302.85
2023-09-17,7728,27,8094.87
2023-09-18,8100,62,12334.56
2023-09-19,8795,78,14659.14
2023-09-20,8739,57,10608
2023-09-21,7369,23,6281.63
2023-09-22,8062,45,12142.3
2023-09-23,8727,33,7599.68
2023-09-24,8716,34,7656.63
2023-09-25,7638,31,8438.45
2023-09-26,8023,69,16082.55
2023-09-27,8176,55,10174.52
2023-09-28,7912,59,12310.43
2023-09-29,7531,26,7125.63
2023-09-30,7960,32,8547.54
2023-10-01,8085,34,8503.36
2023-10-02,7712,33,6034.92
2023-10-03,7772,43,9184.81
2023-10-04,9775,45,8661.12
2023-10-05,8897,43,11556.16
2023-10-06,7261,24,6150.14
2023-10-07,7121,14,3174.18
2023-10-08,8251,31,6187.13
2023-10-09,7799,25,5285.05
2023-10-10,7123,29,7643.34
2023-10-11,7761,36,7718.34
2023-10-12,8113,42,13178.6
