date,channel,user_type,sessions,revenue,purchases,engaged_sessions,shipping,tax
2023-01-31,Direct,established,5168,6664.94,52,4087,496.5,91.34
2023-01-31,Direct,new,19202,41618.57,304,10173,3374,2175.24
2023-01-31,Display,(not set),6,0,0,1,0,0
2023-01-31,Display,established,101,98.19,1,37,10,8.2
2023-01-31,Display,new,351,0,0,49,0,0
2023-01-31,Email,(not set),494,1216.2,9,323,123,83.54
2023-01-31,Email,established,3187,12095.36,66,2110,569.91,683.98
2023-01-31,Email,new,10954,24011.59,146,6217,1281.92,1597.02
2023-01-31,Organic Search,(not set),128,845.19,5,87,40,30.27
2023-01-31,Organic Search,established,1211,2722.53,18,880,247.59,125.54
2023-01-31,Organic Search,new,8851,11890.54,66,6279,680.29,574.26
2023-01-31,Organic Shopping,(not set),13,0,0,9,0,0
2023-01-31,Organic Shopping,established,69,0,0,45,0,0
2023-01-31,Organic Shopping,new,200,459.98,4,141,30,28.68
2023-01-31,Organic Social,(not set),8,0,0,7,0,0
2023-01-31,Organic Social,established,108,0,0,87,0,0
2023-01-31,Organic Social,new,608,717.58,5,477,30,40.29
2023-01-31,Organic Video,new,2,0,0,2,0,0
2023-01-31,Paid Search,(not set),370,832.29,7,250,50,47.56
2023-01-31,Paid Search,established,2843,8382.02,55,1927,495,452.29
2023-01-31,Paid Search,new,19363,37236.47,290,12685,2903.09,2240.3
2023-01-31,Paid Social,(not set),242,167.79,2,158,23,13.22
2023-01-31,Paid Social,established,2600,4662.43,32,1557,229,277.45
2023-01-31,Paid Social,new,7445,7947.2,60,3781,525.5,452.57
2023-01-31,Paid Video,established,3,0,0,2,0,0
2023-01-31,Paid Video,new,1,171.06,1,1,0,13.02
2023-01-31,Payment Redirects,(not set),34,718.23,4,28,10,34.64
2023-01-31,Payment Redirects,established,96,1993.33,9,67,77,136.25
2023-01-31,Payment Redirects,new,262,2676.23,19,188,253,140.18
2023-01-31,Referral,(not set),5,0,0,5,0,0
2023-01-31,Referral,established,87,0,0,57,0,0
2023-01-31,Referral,new,112,302.36,1,64,30.82,13.81
2023-01-31,SMS,(not set),721,1421.95,10,413,117,64.5
2023-01-31,SMS,established,5148,9036.14,55,2900,490,567.51
2023-01-31,SMS,new,10226,17428.43,103,4473,902.5,977.54
2023-01-31,Unassigned,(not set),838,1997.3,14,0,198,105.33
2023-01-31,Unassigned,established,139,228.56,2,0,23,3.78
2023-01-31,Unassigned,new,168,748.13,5,0,30,34.19
2023-02-01,Affiliates,(not set),43,217.42,2,28,20,16.27
