date,platform,users
2023-04-13,Android,123
2023-04-14,web,8315
2023-04-14,iOS,867
2023-04-14,Android,122
2023-04-15,web,8117
2023-04-15,iOS,899
2023-04-15,Android,122
2023-04-16,web,9113
2023-04-16,iOS,973
2023-04-16,Android,135
2023-04-17,web,8962
2023-04-17,iOS,927
2023-04-17,Android,127
2023-04-18,web,8084
2023-04-18,iOS,864
2023-04-18,Android,116
2023-04-19,web,6900
2023-04-19,iOS,719
2023-04-19,Android,105
2023-04-20,web,11305
2023-04-20,iOS,1062
2023-04-20,Android,127
2023-04-21,web,11020
2023-04-21,iOS,968
2023-04-21,Android,134
2023-04-22,web,10363
2023-04-22,iOS,1035
2023-04-22,Android,170
2023-04-23,web,10616
2023-04-23,iOS,1012
2023-04-23,Android,145
2023-04-24,web,11235
2023-04-24,iOS,937
2023-04-24,Android,150
2023-04-25,web,9806
2023-04-25,iOS,834
2023-04-25,Android,119
2023-04-26,web,9243
2023-04-26,iOS,875
2023-04-26,Android,100
2023-04-27,web,10496
2023-04-27,iOS,866
2023-04-27,Android,131
2023-04-28,web,9381
2023-04-28,iOS,841
2023-04-28,Android,122
2023-04-29,web,8634
2023-04-29,iOS,943
2023-04-29,Android,119
2023-04-30,web,9386
2023-04-30,iOS,1014
2023-04-30,Android,147
2023-05-01,web,8040
2023-05-01,iOS,839
2023-05-01,Android,83
2023-05-02,web,7170
2023-05-02,iOS,768
2023-05-02,Android,136
2023-05-03,web,7323
2023-05-03,iOS,741
2023-05-03,Android,142
2023-05-04,web,11622
2023-05-04,iOS,922
2023-05-04,Android,151
2023-05-05,web,9726
2023-05-05,iOS,859
2023-05-05,Android,154
2023-05-06,web,6550
2023-05-06,iOS,769
2023-05-06,Android,142
2023-05-07,web,7773
2023-05-07,iOS,834
2023-05-07,Android,166
2023-05-08,web,7142
2023-05-08,iOS,716
2023-05-08,Android,134
2023-05-09,web,6673
2023-05-09,iOS,739
2023-05-09,Android,115
2023-05-10,web,7338
2023-05-10,iOS,751
2023-05-10,Android,128
2023-05-11,web,7385
2023-05-11,iOS,769
2023-05-11,Android,127
2023-05-12,web,9012
2023-05-12,iOS,778
2023-05-12,Android,118
2023-05-13,web,8642
2023-05-13,iOS,788
2023-05-13,Android,135
2023-05-14,web,8487
2023-05-14,iOS,885
2023-05-14,Android,133
2023-05-15,web,8050
2023-05-15,iOS,791
2023-05-15,Android,138
2023-05-16,web,8282
2023-05-16,iOS,805
2023-05-16,Android,132
2023-05-17,web,8370
2023-05-17,iOS,780
2023-05-17,Android,155
2023-05-18,web,8474
2023-05-18,iOS,892
