date,sessions,engaged_sessions
2023-09-12,122194,
2023-09-13,119037,
2023-09-14,112073,
2023-09-15,114211,
2023-09-16,116006,
2023-09-17,134859,
2023-09-18,140240,
2023-09-19,139239,
2023-09-20,132775,
2023-09-21,119931,
2023-09-22,114882,
2023-09-23,117148,
2023-09-24,123621,
2023-09-25,122685,
2023-09-26,137127,
2023-09-27,146078,
2023-09-28,143451,
2023-09-29,125399,
2023-09-30,130642,
2023-10-01,126474,
2023-10-02,129128,
2023-10-03,133542,
2023-10-04,153466,
2023-10-05,139500,
2023-10-06,124551,
2023-10-07,120134,
2023-10-08,135546,
2023-10-09,139359,
2023-10-10,130969,
2023-10-11,135124,
2023-10-12,142961,
2023-10-13,154671,
2023-10-14,146069,
2023-10-15,156482,
2023-10-16,157217,
2023-10-17,153695,
2023-10-18,155843,
2023-10-19,158303,
2023-10-20,139196,
2023-10-21,140022,
2023-10-22,158792,
2023-10-23,152125,
2023-10-24,128487,
2023-10-25,188124,
2023-10-26,133985,
2023-10-27,144808,
2023-10-28,122390,
2023-10-29,181308,
2023-10-30,190733,
2023-10-31,133290,
2023-11-01,158690,
2023-11-02,180855,
2023-11-03,153956,
2023-11-04,172819,
2023-11-05,177869,
2023-11-06,184445,
2023-11-07,186726,
2023-11-08,188633,
2023-11-09,193677,
2023-11-10,181085,
2023-11-11,195226,
2023-11-12,207120,
2023-11-13,208712,
2023-11-14,192737,
2023-11-15,195456,
2023-11-16,191215,
2023-11-17,190828,
2023-11-18,199748,
2023-11-19,261699,
2023-11-20,254664,
2023-11-21,260521,
2023-11-22,257163,
2023-11-23,284887,
2023-11-24,389893,
2023-11-25,347856,
2023-11-26,314095,
2023-11-27,382342,
2023-11-28,316539,
2023-11-29,298474,
2023-11-30,306678,
2023-12-01,306319,
2023-12-02,315643,
2023-12-03,300145,
2023-12-04,251566,
2023-12-05,250357,
2023-12-06,238489,
2023-12-07,243900,
2023-12-08,240680,
2023-12-09,234883,
2023-12-10,243720,
2023-12-11,236374,
2023-12-12,216939,
2023-12-13,228318,
2023-12-14,223251,
2023-12-15,211961,
2023-12-16,210693,
2023-12-17,212822,
2023-12-18,212922,
2023-12-19,193618,
2023-12-20,180595,
2023-12-21,168317,
2023-12-22,159347,
2023-12-23,153152,
2023-12-24,146035,
2023-12-25,188274,
2023-12-26,212098,
2023-12-27,186819,
2023-12-28,179256,
2023-12-29,183780,
2023-12-30,171774,
2023-12-31,148537,
2024-01-01,163700,
2024-01-02,167587,
2024-01-03,150823,
2024-01-04,149975,
2024-01-05,157199,
2024-01-06,171076,
2024-01-07,184812,
2024-01-08,161193,
2024-01-09,168644,
2024-01-10,165188,
2024-01-11,165410,
2024-01-12,171990,
2024-01-13,173538,
2024-01-14,171893,
2024-01-15,167440,
2024-01-16,158701,
2024-01-17,160386,
2024-01-18,156296,
2024-01-19,193032,
2024-01-20,189112,
2024-01-21,180534,
2024-01-22,141697,
2024-01-23,150002,
2024-01-24,157618,
2024-01-25,167026,
2024-01-26,138713,
2024-01-27,144031,
2024-01-28,147429,
2024-01-29,138021,
2024-01-30,141578,
2024-01-31,144601,
2024-02-01,150456,
2024-02-02,142896,
2024-02-03,129923,
2024-02-04,140219,
2024-02-05,137025,
2024-02-06,130662,
2024-02-07,143072,
2024-02-08,151055,
2024-02-09,146067,
2024-02-10,148369,
2024-02-11,157548,
2024-02-12,135735,
2024-02-13,139688,
2024-02-14,134424,
2024-02-15,153181,
2024-02-16,143729,
2024-02-17,154391,
2024-02-18,174898,
2024-02-19,171083,
2024-02-20,167109,
2024-02-21,160232,
2024-02-22,162666,
2024-02-23,150975,
2024-02-24,153837,
2024-02-25,161010,
2024-02-26,170790,
2024-02-27,177521,
2024-02-28,190720,
2024-02-29,168700,
2024-03-01,161456,
2024-03-02,176114,
2024-03-03,161672,
2024-03-04,159426,
2024-03-05,153316,
2024-03-06,145028,
2024-03-07,160012,
2024-03-08,147882,
2024-03-09,165218,
2024-03-10,165949,
2024-03-11,157767,
2024-03-12,156102,
2024-03-13,153029,
2024-03-14,149432,
2024-03-15,145712,
