style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,OP  ,OP,44728,43960,-1,0,0,,,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
103070-2707,OP,OP,44728,43962,-1,0,0,,,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
103070-4100,OP,16H1,44846,43878,949,960,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
103070-6000,OP  ,19S1,44728,43966,1187,1181,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
104932-1001,FP,20H2,45562,44176,41,639,0,YES,,119,119,50% OFF,REG,,STORE-ONLY CORE HOLD,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
104932-1501,FP,21M3,45569,44375,565,565,0,YES,LIVE,119,119,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
104932-2504,FP,21M3,44516,44373,409,403,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
104932-4000,FP,20H2,44379,,0,0,0,,,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
104932-4950,FP,23F2,45139,45152,118,116,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
104932-6003,FP,20H2,45565,44172,124,129,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
104979-4926,OP,20H3,,,0,0,0,,,119,94.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105106-1800,OP,21M2,44685,44327,3,0,0,YES,,89,69.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105486-1001,FP,21M3,45495,44392,-1,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105486-2721,FP,22F2,,,0,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105486-4100,FP,21M3,45114,,0,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105486-6059,FP,21M3,45114,44384,-1,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105616-1001,FP,21H1,44490,,0,0,0,YES,,119,79.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105622-1001,OP,21F2,45498,44414,936,937,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105622-1501,OP,21F1,45502,44496,0,0,0,YES,,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105622-1537,OP,24F2,45502,45534,464,599,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105622-2416,OP,24F1,45498,45552,-2,330,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105622-3539,OP,24F2,45502,45539,0,335,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105622-4000,OP,21F1,45502,44482,717,1064,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105622-6059,OP,21F1,45498,44434,-4,0,0,,,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105622-8106,OP,24F1,,,0,375,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-1001,FP,21H2,45576,44518,1543,2439,0,YES,LIVE,139,139,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-1105,FP,22H1,45567,44889,621,636,0,YES,LIVE,139,139,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-1210,FP,22F1,45567,44747,620,612,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-1600,FP,22H1,45237,44854,299,299,0,YES,LIVE,139,139,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-1700,FP,22S1,44557,44557,7,10,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-1702,FP,22H1,44867,44890,638,639,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-1866,FP,22F1,45355,44750,615,623,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-2504,FP,21H2,45540,44518,557,599,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-2701,FP,23H1,45191,45198,89,90,0,YES,LIVE,139,139,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-3052,FP,22H1,44867,44890,325,328,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-4189,FP,22S1,45355,44557,242,254,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-4262,FP,24M1,45378,45367,167,172,0,YES,LIVE,139,139,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-4400,FP,23H1,45191,45208,164,165,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-4816,FP,23S1,45147,44933,96,96,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-4903,FP,24F3,45567,45567,199,199,0,,LIVE,139,139,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105755-6000,FP,21H2,45147,44518,912,914,0,YES,LIVE,139,139,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105797-1700,FP,22M3,44721,,0,0,0,,,89,49.97,70% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
105797-4609,FP,22M3,44721,,0,0,0,,,89,49.97,70% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106303-1001,FP,22F1,44900,44779,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106303-1702,FP,21F1,44880,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106303-3005,FP,22F1,44774,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106306-3124,FP,22F1,44778,44797,0,0,0,,,149,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106342-1001,FP,22F3,44798,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106342-4400,FP,22F3,44798,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106539-3410,FP,22H1,45357,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106539-7474,FP,23F2,45156,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106543-1001,FP,22H1,45355,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106543-1702,FP,22H1,,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106543-2701,FP,22H1,44838,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106592-1001,FP,22H3,44896,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106592-7451,FP,22H3,44896,44903,0,0,0,YES,,109,69.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
106883-1001,FP,23S2,,,0,2,0,YES,LIVE,89,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107136-1001,FP,23S1,44946,,0,0,0,YES,,99,69.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107137-1001,FP,23M1,45112,,0,0,0,,,89,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107137-1501,FP,23M1,45079,45086,1,0,0,YES,,89,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107284-4848,OP,23F1,45359,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107284-7027,OP,23F1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107288-1001,OP,23F2,45541,45133,593,590,0,YES,LIVE,109,109,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107288-3002,OP,23F2,45129,,0,0,0,,,109,109,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107288-4189,OP,23F2,45129,45168,-1,0,0,,,109,109,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107288-7014,OP,23F2,,,0,9,0,YES,LIVE,109,109,50% OFF,REG,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107325-1001,FP,23M2,,,0,0,0,,,89,59.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107325-1700,FP,23M2,,,0,0,0,YES,,89,59.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107400-1232,FP,23F1,45120,45124,-1,0,0,,,139,119.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107400-2063,FP,23F1,45364,,0,0,0,,,139,119.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107404-1001,FP,23F2,45132,,0,0,0,YES,,109,94.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107404-1702,FP,23F2,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107462-1001,FP,23F3,45161,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107462-8018,FP,23F3,45164,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107567-1001,FP,23H2,45243,,0,0,0,YES,,119,99.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107567-2046,FP,23H2,45243,,7,5,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107577-1001,FP,23H1,45363,45225,171,160,0,YES,LIVE,149,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107577-4400,FP,23H1,45224,,0,0,0,,,149,74.97,60% OFF,SALE,,,           ,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107577-6010,FP,23H1,45220,45229,4,2,0,YES,LIVE,149,74.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107585-1001,FP,23H3,45272,,0,0,0,,,119,99.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107585-1700,FP,23H3,45268,45274,0,0,0,,,119,99.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107585-3922,FP,23H3,45272,,0,0,0,,,119,99.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107611-1001,FP,23H2,45245,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107611-1702,FP,23H2,45246,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107611-3000,FP,23H2,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
107629-1001,FP,23H1,45203,,0,0,0,YES,,109,94.97,60% OFF,SALE,,,,One Site Pricing 12.2.24.xlsx,Pricing,45728.33307,45728.35623
