style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,OP  ,OP,44728,43960,-1,0,0,YES,,99,99,40% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
103070-2707,OP,OP,44728,43962,-1,0,0,YES,,99,99,40% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
103070-4100,OP,16H1,44846,43878,895,891,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
103070-6000,OP  ,19S1,44728,43966,1105,1080,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
104932-1001,FP,20H2,45562,44176,41,639,0,YES,,119,119,40% OFF,REG,,STORE-ONLY CORE HOLD,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
104932-1501,FP,21M3,45569,44375,440,418,0,YES,LIVE,119,119,40% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
104932-2504,FP,21M3,44516,44373,342,315,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
104932-4000,FP,20H2,44379,,0,0,0,YES,,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
104932-4950,FP,23F2,45139,45152,87,77,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
104932-6003,FP,20H2,45565,44172,113,110,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
104979-4926,OP,20H3,,,0,0,0,YES,,119,94.97,60% OFF,SALE,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105106-1800,OP,21M2,44685,44327,3,0,0,YES,,89,69.97,60% OFF,SALE,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105486-1001,FP,21M3,45495,44392,-1,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105486-2721,FP,22F2,,,0,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105486-4100,FP,21M3,45114,,0,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105486-6059,FP,21M3,45114,44384,-1,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105616-1001,FP,21H1,44490,,0,0,0,YES,,119,79.97,60% OFF,SALE,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105622-1001,OP,21F2,45498,44414,883,882,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105622-1501,OP,21F1,,,0,0,0,YES,,99,99,50% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105622-1537,OP,24F2,45502,45534,445,574,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105622-2416,OP,24F1,45498,45552,-2,319,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105622-3539,OP,24F2,45502,45539,-1,329,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105622-4000,OP,21F1,45502,44482,694,1036,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105622-6059,OP,21F1,45498,44434,-4,0,0,YES,,99,99,50% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105622-8106,OP,24F1,45498,45538,0,370,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105755-1001,FP,21H2,45576,44518,1428,2303,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105755-1105,FP,22H1,45567,44889,593,603,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
105755-1210,FP,22F1,45567,44747,591,580,0,YES,LIVE,139,119.97,70% OFF,SALE,COLOR MD,,,One Site Pricing 12.6.24.xlsx,Pricing,45728.33328,45728.35628
