style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,OP  ,OP,6/16/2022,43960,-1,0,0,YES,,99,99,30% OFF,REG,,,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
103070-2707,OP,OP,6/16/2022,43962,22,23,0,YES,LIVE,99,99,30% OFF,REG,,,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
103070-4100,OP,16H1,10/12/2022,43878,1209,1207,0,YES,LIVE,99,99,30% OFF,REG,,,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
103070-6000,OP  ,19S1,6/16/2022,43966,1521,1519,0,YES,LIVE,99,99,30% OFF,REG,,,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
104932-1001,FP,20H2,1/2/2024,44176,23,634,0,YES,,119,119,30% OFF,REG,,STORE-ONLY CORE HOLD,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
104932-1501,FP,21M3,1/8/2024,44375,493,888,0,YES,LIVE,119,119,30% OFF,REG,,,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
104932-2504,FP,21M3,11/16/2021,44373,763,771,0,YES,LIVE,119,119,30% OFF,REG,,,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
104932-4000,FP,20H2,7/2/2021,44172,16,16,0,YES,LIVE,119,119,30% OFF,REG,,,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
104932-4950,FP,23F2,8/1/2023,45152,314,315,0,YES,LIVE,119,119,30% OFF,REG,,,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
104932-6003,FP,20H2,6/24/2021,44172,216,217,0,YES,LIVE,119,119,30% OFF,REG,,,,One Site Pricing 5.2.24.xlsx,Pricing,45728.33554,45728.35743
