style_color,=1/0,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
208534C-1001,208534C,FP,24F1,7/25/2024,45471,197,201,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208535C-1700,208535C,FP,24M2,6/18/2024,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208536C-1001,208536C,FP,24F1,7/15/2024,45497,628,632,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208536C-1700,208536C,FP,24F1,7/15/2024,45498,299,300,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208536C-6172,208536C,FP,24F1,7/15/2024,45497,338,338,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208538C-1700,208538C,FP,24F1,7/9/2024,45483,277,273,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208539-1001,208539,FP,24M2,7/3/2024,45485,430,434,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208539-1700,208539,FP,24M2,10/28/2024,45564,356,353,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208539-6706,208539,FP,24M2,7/3/2024,45483,64,82,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208541-1001,208541,FP,24H1,10/9/2024,45577,339,330,0,YES,LIVE,59,59,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208541-1700,208541,FP,24H1,10/9/2024,45579,260,251,0,YES,LIVE,59,59,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208541-2207,208541,FP,24H1,10/21/2024,45590,399,396,0,YES,LIVE,59,59,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208541-6617,208541,FP,24H1,10/21/2024,45578,406,407,0,YES,LIVE,59,59,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208544-1001,208544,FP,24H1,10/26/2024,45595,1183,1285,0,YES,LIVE,69,69,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208544-1702,208544,FP,24H1,10/25/2024,45595,1004,1055,0,YES,LIVE,69,69,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208555-1001,208555,FP,24H3,12/14/2024,45646,596,596,0,YES,LIVE,59,59,40% OFF,REG,,,NEW ARRIVAL,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208555-8307,208555,FP,24H3,12/14/2024,45647,596,596,0,YES,LIVE,59,59,40% OFF,REG,,,NEW ARRIVAL,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208560-1426,208560,FP,24M1,7/29/2024,45409,807,814,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208560-1702,208560,FP,24M1,7/29/2024,45421,731,728,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208560-6016,208560,FP,24M1,7/29/2024,45409,1257,1258,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208566-1001,208566,FP,24H2,11/21/2024,45623,563,627,0,YES,LIVE,69,69,30% OFF,REG,,,NEW ARRIVAL,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208566-1700,208566,FP,24H2,11/21/2024,45623,664,712,0,YES,LIVE,69,69,30% OFF,REG,,,NEW ARRIVAL,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208566-6000,208566,FP,24H2,11/21/2024,45623,368,367,0,YES,LIVE,69,69,30% OFF,REG,,,NEW ARRIVAL,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208598-1001,208598,FP,24F1,7/29/2024,45506,181,192,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208598-1700,208598,FP,24F1,7/29/2024,45505,157,160,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208598-6602,208598,FP,24F1,7/29/2024,45519,75,75,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208623-1001,208623,FP,24F2,8/2/2024,45512,32,42,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208623-1700,208623,FP,24F2,8/2/2024,45512,70,94,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208623-6833,208623,FP,24F2,8/2/2024,45512,62,65,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208624-1001,208624,FP,24F2,7/29/2024,45519,459,459,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208624-2018,208624,FP,24F2,7/29/2024,45514,289,294,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208624-4903,208624,FP,24F2,7/29/2024,45513,512,515,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208625-1001,208625,FP,24F2,12/6/2024,45514,801,803,0,YES,LIVE,59,59,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208625-1700,208625,FP,24F2,8/5/2024,45513,96,99,0,YES,LIVE,59,59,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208625-2018,208625,FP,24F2,12/5/2024,45513,532,527,0,YES,LIVE,59,59,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208640C-1779,208640C,FP,24M1,5/6/2024,45435,226,235,0,YES,LIVE,59,34.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208640C-6444,208640C,FP,24M1,6/18/2024,45463,354,351,0,YES,LIVE,59,34.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208641C-1001,208641C,FP,24M2,6/26/2024,45435,57,54,0,YES,LIVE,59,34.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
208641C-6172,208641C,FP,24M2,6/26/2024,45438,204,207,0,YES,LIVE,59,34.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
