style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
205918-1001,FP,22H1,11/18/2022,44889,11,9,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205942-1001,FP,22H1,3/7/2024,44847,177,175,0,YES,LIVE,139,119.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206035-1001,FP,22F3,8/31/2022,44816,10,16,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206145-HBBL,FP,22H3,6/21/2023,44896,1,0,0,YES,,139,119.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206461-IBZL,FP,23M1,5/8/2023,45056,5,4,0,YES,LIVE,149,109.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206511-1001,FP,23M3,6/2/2023,45084,0,0,0,YES,,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206631-IBWM,FP,23S1,1/17/2023,44955,90,88,0,YES,LIVE,159,134.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206774-1607,FP,23M3,6/2/2023,45084,52,53,0,YES,LIVE,119,74.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207086-1001,FP,23F1,7/14/2023,45132,35,35,0,YES,LIVE,119,74.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207086-6000,FP,23F1,7/14/2023,45126,62,60,0,YES,LIVE,119,74.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207118-IELD,FP,23F2,7/31/2023,45156,49,49,0,YES,LIVE,149,124.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207168-IANL,FP,23M3,6/7/2023,45121,61,61,0,YES,LIVE,159,134.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207188C-9818,FP,23F1,,,0,0,0,YES,,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207189C-6483,FP,23F1,6/21/2023,45106,8,6,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207191C-1001,FP,23F1,8/3/2023,45142,1,0,0,YES,,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207191C-9819,FP,23F1,8/3/2023,45145,24,32,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
