style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,OP  ,OP,12/10/2024,43960,-1,0,0,,,99,99,30% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
103070-2707,OP,OP,12/10/2024,43962,-2,0,0,,,99,99,30% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
103070-4100,OP,16H1,10/12/2022,43878,792,802,0,YES,LIVE,99,99,30% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
103070-6000,OP  ,19S1,6/16/2022,43966,897,891,0,YES,LIVE,99,99,30% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
104932-1001,FP,20H2,9/27/2024,44176,41,384,0,YES,,119,119,30% OFF,REG,,STORE-ONLY CORE HOLD,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
104932-1501,FP,21M3,10/4/2024,44375,224,230,0,YES,LIVE,119,119,30% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
104932-2504,FP,21M3,11/16/2021,44373,227,217,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
104932-4000,FP,20H2,7/2/2021,,0,0,0,,,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
104932-4950,FP,23F2,8/1/2023,45152,54,53,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
104932-6003,FP,20H2,9/30/2024,44172,74,72,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
104979-4926,OP,20H3,,,0,0,0,,,119,94.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105106-1800,OP,21M2,,,0,0,0,YES,,89,69.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105486-1001,FP,21M3,7/22/2024,44392,-1,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105486-2721,FP,22F2,,,0,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105486-4100,FP,21M3,7/7/2023,,0,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105486-6059,FP,21M3,7/7/2023,44384,-1,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105616-1001,FP,21H1,10/21/2021,,0,0,0,YES,,119,79.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105622-1001,OP,21F2,7/25/2024,44414,636,630,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105622-1501,OP,21F1,,,0,0,0,YES,,99,99,50% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105622-1537,OP,24F2,7/29/2024,45534,374,403,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105622-2416,OP,24F1,7/25/2024,45552,-3,292,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105622-3539,OP,24F2,7/29/2024,45539,-3,311,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105622-4000,OP,21F1,7/29/2024,44482,577,922,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105622-6059,OP,21F1,7/25/2024,44434,-2,0,0,,,99,99,50% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105622-8106,OP,24F1,7/25/2024,45538,0,361,0,YES,LIVE,99,99,50% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-1001,FP,21H2,10/11/2024,44518,1100,1737,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-1105,FP,22H1,10/2/2024,44889,536,553,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-1210,FP,22F1,10/2/2024,44747,432,434,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-1600,FP,22H1,11/7/2023,44854,210,204,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-1700,FP,22S1,,,0,0,0,YES,,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-1702,FP,22H1,11/2/2022,44890,596,591,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-1866,FP,22F1,3/4/2024,44750,585,587,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-2504,FP,21H2,9/5/2024,44518,497,497,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-2701,FP,23H1,9/22/2023,45198,61,62,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-3052,FP,22H1,11/2/2022,44890,302,304,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-4189,FP,22S1,3/4/2024,44557,186,186,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-4262,FP,24M1,3/27/2024,45367,118,121,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-4400,FP,23H1,9/22/2023,45208,100,99,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-4816,FP,23S1,8/9/2023,44933,47,46,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-4903,FP,24F3,10/2/2024,45567,182,179,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105755-6000,FP,21H2,8/9/2023,44518,835,838,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105797-1700,FP,22M3,6/9/2022,,0,0,0,,,89,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
105797-4609,FP,22M3,6/9/2022,,0,0,0,,,89,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106303-1001,FP,22F1,12/5/2022,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106303-1702,FP,21F1,11/15/2022,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106303-3005,FP,22F1,8/1/2022,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106306-3124,FP,22F1,,,0,0,0,,,149,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106342-1001,FP,22F3,,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106342-4400,FP,22F3,8/25/2022,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106539-3410,FP,22H1,3/6/2024,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106539-7474,FP,23F2,8/18/2023,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106543-1001,FP,22H1,3/4/2024,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106543-1702,FP,22H1,,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106543-2701,FP,22H1,10/4/2022,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106592-1001,FP,22H3,,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106592-7451,FP,22H3,12/1/2022,,0,0,0,YES,,109,69.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
106883-1001,FP,23S2,,,0,0,0,,,89,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
107136-1001,FP,23S1,1/20/2023,44940,-1,0,0,YES,,99,69.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
107137-1001,FP,23M1,7/5/2023,,0,0,0,,,89,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
107137-1501,FP,23M1,6/2/2023,45086,1,0,0,YES,,89,74.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
107284-4848,OP,23F1,3/8/2024,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
107284-7027,OP,23F1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
107288-1001,OP,23F2,9/6/2024,45133,283,280,0,YES,LIVE,109,94.97,60% OFF,SALE,NEW MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
107288-3002,OP,23F2,7/22/2023,,0,0,0,,,109,94.97,60% OFF,SALE,NEW MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
107288-4189,OP,23F2,7/22/2023,45168,-1,0,0,,,109,94.97,60% OFF,SALE,NEW MD,,,One Site Pricing EOSS 12.26.24.xlsx,Pricing,45728.33932,45728.36703
