style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,OP  ,OP,,,-1,0,0,YES,,99,99,40% OFF,REG,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
103070-2707,OP,OP,6/16/2022,43962,21,22,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
103070-4100,OP,16H1,10/12/2022,43878,1196,1198,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
103070-6000,OP  ,19S1,6/16/2022,43966,1504,1503,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
104932-1001,FP,20H2,1/2/2024,,24,635,0,YES,,119,119,40% OFF,REG,,STORE-ONLY CORE HOLD,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
104932-1501,FP,21M3,1/8/2024,44375,490,943,0,YES,LIVE,119,119,40% OFF,REG,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
104932-2504,FP,21M3,11/16/2021,,766,766,0,YES,LIVE,119,119,40% OFF,REG,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
104932-4000,FP,20H2,,,16,16,0,YES,LIVE,119,119,40% OFF,REG,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
104932-4950,FP,23F2,,,314,314,0,YES,LIVE,119,119,40% OFF,REG,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
104932-6003,FP,20H2,6/24/2021,44172,215,215,0,YES,LIVE,119,119,40% OFF,REG,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
104979-4926,OP,20H3,,,0,0,0,YES,,119,94.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105106-1800,OP,21M2,,,1,0,0,YES,,89,69.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105287-3443,FP,21F1,,,1,0,0,YES,,129,69.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105315-4733,FP,21F3,,,1,0,0,YES,,129,79.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105427-1001,FP,21M3,,,0,0,0,YES,,119,79.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105486-1001,FP,21M3,,,1,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105486-1210,FP,23F3,,,-1,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105486-1501,FP,21M1,,,1,1,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105486-2504,FP,21M3,,,3,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105486-2721,FP,22F2,7/7/2023,44769,3,87,0,YES,LIVE,99,84.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105486-4100,FP,21M3,7/7/2023,44392,-5,57,0,YES,LIVE,99,84.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105486-6059,FP,21M3,7/7/2023,44384,-6,102,0,YES,LIVE,99,84.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105491-1001,FP,21M1,,,0,0,0,YES,,89,49.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105586-1001,FP,21H2,,,0,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105586-4100,FP,21H2,3/4/2024,44542,1,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105587-1001,FP,21H2,,,1,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105602-1001,FP,21H1,,,1,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105602-1214,FP,21H1,,,0,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105602-1501,FP,21H1,,,0,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105608-1001,FP,21H1,3/4/2024,44477,1,2,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105616-1001,FP,21H1,,,0,0,0,YES,,119,79.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105622-1001,FP,21F2,,,0,0,1200,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
105622-2707,FP,21F1,,,0,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 5.16.24.xlsx,Pricing,45728.33539,45728.36547
