style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,OP  ,OP,6/16/2022,43960,-1,0,0,,,99,99,59,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
103070-1501,OP,22F1,,,0,0,0,,,99,99,59,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
103070-2707,OP,OP,6/16/2022,43962,34,34,0,YES,LIVE,99,99,59,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
103070-4100,OP,16H1,10/12/2022,43878,1306,1302,0,YES,LIVE,99,99,59,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
103070-6000,OP  ,19S1,6/16/2022,43966,1615,1879,0,YES,LIVE,99,99,59,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104798-4100,FP,20H2,1/25/2021,,0,0,0,,,119,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104798-6003,FP,20H2,,,0,0,0,,,119,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104882-1234,FP,20H2,,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104882-2701,FP,20H2,,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104932-1001,FP,20H2,1/2/2024,44176,21,780,0,YES,,119,119,69,REG,,STORE-ONLY CORE HOLD,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104932-1501,FP,21M3,1/8/2024,44375,519,944,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104932-2504,FP,21M3,11/16/2021,44373,745,767,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104932-4000,FP,20H2,7/2/2021,44172,17,17,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104932-4950,FP,23F2,8/1/2023,45152,329,328,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104932-6003,FP,20H2,6/24/2021,44172,218,219,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104961-3444,FP,21S2,2/15/2021,,0,0,0,,,119,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104972-1001,OP,20H2,,,0,0,0,,,119,79.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104972-4000,OP,20H2,,,0,0,0,,,119,79.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104979-2105,OP,20H3,,,0,0,0,,,119,94.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
104979-4926,OP,20H3,,,0,0,0,YES,,119,94.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105106-1001,OP,21M2,,,0,0,0,,,89,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105106-1800,OP,21M2,,,0,0,0,YES,,89,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105121-1200,OP,21M2,4/29/2021,,0,0,0,,,129,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105287-3443,FP,21F1,6/29/2021,44425,1,0,0,,,129,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105315-4733,FP,21F3,8/19/2021,44440,1,0,0,,,129,79.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105401-1001,FP,21M2,,,0,0,0,,,89,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105404-1001,FP,21F1,,,0,0,0,,,119,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105404-6000,FP,21F1,,,0,0,0,,,119,69.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105406-1001,FP,21F2,9/2/2021,,0,0,0,,,129,59.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105427-1001,FP,21M3,,,0,0,0,YES,,119,79.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105427-6000,FP,21M3,,,0,0,0,,,119,79.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
105486-1001,FP,21M3,7/12/2023,44392,-1,70,0,YES,LIVE,99,84.97,60% OFF,SALE,,,,One Site Pricing 2.22.24.xlsx,Pricing,45728.33375,45728.36468
