style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
105106-1800,OP,21M2,5/4/2022,44327,3,0,0,YES,,89,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
105486-1001,FP,21M3,7/22/2024,44392,-1,0,0,,,99,84.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
105486-2721,FP,22F2,,,0,0,0,,,99,84.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
105486-4100,FP,21M3,7/7/2023,,0,0,0,,,99,84.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
105486-6059,FP,21M3,7/7/2023,44384,1,0,0,,,99,84.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
105616-1001,FP,21H1,10/21/2021,,0,0,0,,,119,79.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
105797-1700,FP,22M3,6/9/2022,,0,0,0,,,89,49.97,14.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
105797-4609,FP,22M3,6/9/2022,,0,0,0,,,89,49.97,14.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106303-1001,FP,22F1,12/5/2022,,0,0,0,,,109,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106303-1702,FP,21F1,11/15/2022,,0,0,0,,,109,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106303-3005,FP,22F1,8/1/2022,,0,0,0,,,109,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106306-3124,FP,22F1,,,0,0,0,,,149,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106342-1001,FP,22F3,,,0,0,0,,,109,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106342-4400,FP,22F3,8/25/2022,,0,0,0,,,109,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106539-3410,FP,22H1,3/6/2024,,0,0,0,,,119,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106539-7474,FP,23F2,8/18/2023,,0,0,0,,,119,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106543-1001,FP,22H1,3/4/2024,,0,0,0,,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106543-1702,FP,22H1,,,0,0,0,,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106543-2701,FP,22H1,10/4/2022,,0,0,0,,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106592-1001,FP,22H3,,,0,0,0,,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106592-7451,FP,22H3,12/1/2022,,0,0,0,YES,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
106883-1001,FP,23S2,,,0,0,0,,,89,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107136-1001,FP,23S1,1/20/2023,44940,1,0,0,YES,,99,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107137-1001,FP,23M1,7/5/2023,,0,0,0,,,89,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107137-1501,FP,23M1,6/2/2023,45086,1,0,0,YES,,89,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107288-1001,OP,23F2,9/6/2024,45133,1,0,0,YES,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107288-3002,OP,23F2,,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107288-4189,OP,23F2,7/22/2023,45168,-1,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107288-7014,OP,23F2,,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107325-1001,FP,23M2,,,0,0,0,,,89,59.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107325-1700,FP,23M2,,,0,0,0,YES,,89,59.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107462-1001,FP,23F3,8/23/2023,,0,0,0,,,119,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107462-8018,FP,23F3,8/26/2023,,0,0,0,,,119,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107577-1001,FP,23H1,3/12/2024,45225,1,0,0,YES,,149,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107577-4400,FP,23H1,10/25/2023,,0,0,0,,,149,74.97,29.99,SALE,FLASH,,           ,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107577-6010,FP,23H1,10/21/2023,,0,0,0,,,149,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107682-1001,OP,23F1,,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107682-1501,OP,23F1,,,0,0,0,YES,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107682-6000,OP,23F1,,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107722-1501,OP,23F1,,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107722-3002,OP,23F1,,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107722-4189,OP,23F1,6/4/2024,,0,1,0,YES,LIVE,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107722-6000,OP,23F1,,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107834-1001,OP,23H1,9/3/2024,45253,0,0,0,YES,,109,69.97,24.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107834-1501,OP,23H1,,,0,0,0,,,109,69.97,24.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107834-3444,OP,23H1,9/23/2023,45253,1,0,0,YES,,109,69.97,24.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107834-6000,OP,23H1,9/4/2024,45253,0,1,0,YES,LIVE,109,69.97,24.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107893-1001,FP,24S1,3/11/2024,,0,0,0,YES,,89,74.97,24.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107893-1700,FP,24S1,3/11/2024,45311,1,1,0,YES,LIVE,89,74.97,24.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107903-1001,FP,24S2,7/30/2024,45322,2,15,0,YES,LIVE,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107903-4205,FP,24S2,8/2/2024,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107905-1001,FP,24S2,2/8/2024,,0,0,0,,,89,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
107905-2701,FP,24S2,2/7/2024,,0,0,0,,,89,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.36355
