style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,OP  ,OP,6/16/2022,43960,-1,0,0,YES,,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
103070-2707,OP,OP,6/16/2022,43962,17,18,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
103070-4100,OP,16H1,10/12/2022,43878,1120,1123,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
103070-6000,OP  ,19S1,6/16/2022,43966,1435,1441,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
104932-1001,FP,20H2,6/26/2024,44176,24,1074,0,YES,,119,119,40% OFF,REG,,STORE-ONLY CORE HOLD,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
104932-1501,FP,21M3,6/11/2024,44375,471,932,600,YES,LIVE,119,119,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
104932-2504,FP,21M3,11/16/2021,44373,768,776,0,YES,LIVE,119,99.97,50% OFF,SALE,COLOR MD,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
104932-4000,FP,20H2,7/2/2021,44172,12,12,0,YES,LIVE,119,99.97,50% OFF,SALE,COLOR MD,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
104932-4950,FP,23F2,8/1/2023,45152,295,295,0,YES,LIVE,119,99.97,50% OFF,SALE,COLOR MD,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
104932-6003,FP,20H2,6/24/2021,44172,208,208,0,YES,LIVE,119,99.97,50% OFF,SALE,COLOR MD,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
104979-4926,OP,20H3,3/16/2021,44246,17,17,0,YES,LIVE,119,94.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105106-1800,OP,21M2,5/4/2022,44327,3,0,0,YES,,89,69.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105287-3443,FP,21F1,6/29/2021,44425,1,0,0,YES,,129,69.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105315-4733,FP,21F3,8/19/2021,44440,1,0,0,YES,,129,79.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105427-1001,FP,21M3,8/31/2021,44386,-1,0,0,YES,,119,79.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105486-1001,FP,21M3,7/22/2024,44392,-1,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105486-1210,FP,23F3,8/22/2023,45162,-1,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105486-1501,FP,21M1,,,0,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105486-2504,FP,21M3,4/7/2023,44393,3,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105486-2721,FP,22F2,7/7/2023,44769,0,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105486-4100,FP,21M3,7/7/2023,44392,-1,1,0,YES,LIVE,99,84.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105486-6059,FP,21M3,7/7/2023,44384,-2,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105491-1001,FP,21M1,,,0,0,0,YES,,89,49.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105586-1001,FP,21H2,12/29/2021,44512,-2,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105586-4100,FP,21H2,,,0,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105587-1001,FP,21H2,11/23/2021,44540,1,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105602-1001,FP,21H1,10/26/2021,44496,1,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105602-1214,FP,21H1,1/21/2022,,0,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105602-1501,FP,21H1,,,0,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105608-1001,FP,21H1,,,0,0,0,YES,,119,99.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105616-1001,FP,21H1,10/21/2021,,0,0,0,YES,,119,79.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105622-1001,OP,21F2,7/25/2024,44414,1174,1882,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105622-1537,OP,24F2,7/29/2024,,550,545,0,,,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105622-2416,OP,24F1,,,0,0,0,,,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105622-2707,OP,21F1,,,0,0,0,YES,,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105622-3539,OP,24F2,,,0,0,0,,,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105622-4000,OP,21F1,7/29/2024,44482,798,2173,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105622-8106,OP,24F1,,,0,0,0,,,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105622-9602,OP,21F1,10/9/2021,44412,1,0,0,YES,,99,99,40% OFF,REG,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105717-1501,FP,21H1,1/3/2022,44568,1,0,0,YES,,129,109.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
105722-1001,FP,21H3,1/12/2023,44559,4,0,0,YES,,89,74.97,60% OFF,SALE,,,,One Site Pricing 8.22.24.xlsx,Pricing,45728.33752,45728.35822
