style_color,=1/0,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,103070,OP  ,OP,12/10/2024,,0,0,0,,,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
103070-2707,103070,OP,OP,,,0,0,0,,,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
103070-4100,103070,OP,16H1,1/6/2025,43878,718,728,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
103070-6000,103070,OP  ,19S1,6/16/2022,43966,764,759,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
104932-1001,104932,FP,20H2,9/27/2024,44176,39,115,0,YES,,119,119,69,REG,,STORE CORE HOLD,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
104932-1501,104932,FP,21M3,10/4/2024,44375,202,204,600,YES,LIVE,119,119,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
104932-2504,104932,FP,21M3,11/16/2021,44373,189,189,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
104932-4000,104932,FP,20H2,7/2/2021,,0,0,0,,,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
104932-4950,104932,FP,23F2,8/1/2023,45152,28,30,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
104932-6003,104932,FP,20H2,9/30/2024,44172,48,48,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
104979-4926,104979,OP,20H3,,,0,0,0,,,119,94.97,60% OFF,SALE,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105106-1800,105106,OP,21M2,5/4/2022,44327,3,0,0,YES,,89,69.97,19.99,SALE,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105486-1001,105486,FP,21M3,7/22/2024,44392,-1,0,0,,,99,84.97,19.99,SALE,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105486-2721,105486,FP,22F2,,,0,0,0,,,99,84.97,19.99,SALE,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105486-4100,105486,FP,21M3,7/7/2023,,0,0,0,,,99,84.97,19.99,SALE,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105486-6059,105486,FP,21M3,7/7/2023,44384,1,0,0,,,99,84.97,19.99,SALE,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105616-1001,105616,FP,21H1,10/21/2021,,0,0,0,,,119,79.97,29.99,SALE,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105622-1001,105622,OP,21F2,2/3/2025,44414,517,2915,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105622-1501,105622,OP,21F1,,,0,0,0,,,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105622-1537,105622,OP,24F2,2/5/2025,45534,335,2747,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105622-2416,105622,OP,24F1,7/25/2024,45552,2,274,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105622-3539,105622,OP,24F2,2/3/2025,45539,4,2708,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105622-4000,105622,OP,21F1,7/29/2024,44482,548,892,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105622-6059,105622,OP,21F1,,,0,0,0,,,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105622-8106,105622,OP,24F1,7/25/2024,45538,3,358,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-1001,105755,FP,21H2,1/20/2025,44518,849,1429,653,YES,LIVE,139,139,89,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-1105,105755,FP,22H1,10/2/2024,44889,505,504,0,YES,LIVE,139,139,89,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-1210,105755,FP,22F1,10/2/2024,44747,369,375,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-1600,105755,FP,22H1,11/7/2023,44854,153,155,0,YES,LIVE,139,139,89,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-1700,105755,FP,22S1,,,0,7,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-1702,105755,FP,22H1,11/2/2022,44890,558,559,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-1866,105755,FP,22F1,3/4/2024,44750,567,571,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-2504,105755,FP,21H2,9/5/2024,44518,465,472,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-2701,105755,FP,23H1,9/22/2023,45198,56,58,0,YES,LIVE,139,139,89,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-3052,105755,FP,22H1,11/2/2022,44890,302,304,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-4189,105755,FP,22S1,3/4/2024,44557,169,173,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-4262,105755,FP,24M1,3/27/2024,45367,99,102,0,YES,LIVE,139,139,89,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-4400,105755,FP,23H1,9/22/2023,45208,85,85,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-4816,105755,FP,23S1,8/9/2023,44933,41,41,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
105755-4903,105755,FP,24F3,10/2/2024,45567,145,145,0,YES,LIVE,139,139,89,REG,,,,One Site Pricing Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.34362,45728.35896
