style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
104979-4926,OP,20H3,3/16/2021,44246,17,17,0,YES,LIVE,119,94.97,29.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
105797-1700,FP,22M3,6/9/2022,44727,0,0,0,YES,,89,49.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
105797-4609,FP,22M3,6/9/2022,44728,6,6,0,YES,LIVE,89,49.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106303-1001,FP,22F1,12/5/2022,44779,8,8,0,YES,LIVE,109,74.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106303-1702,FP,21F1,11/15/2022,,0,0,0,YES,,109,74.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106303-3005,FP,22F1,8/1/2022,,0,0,0,YES,,109,74.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106306-3124,FP,22F1,8/5/2022,44797,64,65,0,YES,LIVE,149,74.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106342-1001,FP,22F3,8/25/2022,,0,0,0,YES,,109,74.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106342-4400,FP,22F3,8/25/2022,44806,23,23,0,YES,LIVE,109,74.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106539-3410,FP,22H1,3/6/2024,44862,1,0,0,YES,LIVE,119,74.97,29.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106539-7474,FP,23F2,8/18/2023,45166,13,12,0,YES,LIVE,119,74.97,29.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106541-1001,FP,22H1,3/4/2024,44839,1,1,0,YES,LIVE,109,94.97,29.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106541-1702,FP,22H1,9/27/2022,44839,0,0,0,YES,,109,94.97,29.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106541-6003,FP,22H1,11/12/2022,,1,0,0,YES,,109,94.97,29.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106543-1001,FP,22H1,3/4/2024,,0,0,0,YES,,109,69.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106543-1702,FP,22H1,9/27/2022,44849,29,29,0,YES,LIVE,109,69.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106543-2701,FP,22H1,10/4/2022,,0,0,0,YES,,109,69.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106592-1001,FP,22H3,12/1/2022,,0,0,0,YES,,109,69.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
106592-7451,FP,22H3,12/1/2022,44903,75,76,0,YES,LIVE,109,69.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
107284-4848,OP,23F1,3/8/2024,45387,2,4,0,YES,LIVE,109,94.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
107284-7027,OP,23F1,3/11/2024,45387,2,0,0,YES,,109,94.97,19.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
107400-1232,FP,23F1,7/13/2023,45124,-1,0,0,YES,,139,119.97,39.99,SALE,,,,One Site Pricing 8.19.24 Flash Sale.xlsx,FLASH,45728.3372,45728.36622
